part_component_id,record_type,part_number,manufacturer,part_name,subsystem,category,new_price_estimate,interchange_group_id,vessel_id,serial_number,installed_at,removed_at,component_hours,condition_grade,notes
pinst_ae25f92d5c93,installed_component,SEACOCK_1IN_BRONZE,Groco,1in Bronze Seacock,HULL,seacock,210,SEACOCK_1IN,ves_7273c7a853d8,EGVWZ9E0AY,1989-11-02,,,C,
pinst_8c92940740a8,installed_component,BATTERY_AGM_100AH,Interstate,AGM 100Ah Battery,ELECTRICAL,battery,340,BATT_100,ves_7273c7a853d8,X26510BE48,1987-11-20,,,D,
pinst_e3aaa02c7dd1,installed_component,ALTERNATOR_70A,Sierra,70A Alternator,ELECTRICAL,alternator,285,ALT_70,ves_7273c7a853d8,YGS4OB2S8B,1987-08-20,,,C,
pinst_6b4d39b9e85e,installed_component,BILGE_PUMP_2000,Rule,2000 GPH Bilge Pump,AUX,pump,145,BILGE_2000,ves_7273c7a853d8,5I5MAH1TZX,1987-02-16,,179,C,
pinst_d176a279fff8,installed_component,BILGE_FLOAT_SWITCH,Rule,Bilge Float Switch,AUX,switch,55,BILGE_FLOAT,ves_7273c7a853d8,SXZU988RM9,1991-09-10,,299,C,
pinst_c9cca07b58da,installed_component,MFD_9IN,Garmin,9in MFD,NAV,display,950,MFD_9,ves_7273c7a853d8,TO9BZ7RGTX,1992-10-12,,278,C,
pinst_751b8e23c632,installed_component,STEERING_CABLE_16FT,SeaStar,16ft Steering Cable,STEERING,cable,240,STEER_CABLE_16,ves_7273c7a853d8,W3M9EV124I,1993-02-12,,303,D,
pinst_82e30aa7a54f,installed_component,HULL_TRANSOM_KIT,MarineCo,Transom Rebuild Kit,HULL,transom,3200,TRANSOM_KIT,ves_7273c7a853d8,1FMBIOK4ZN,1994-02-13,,,D,
pinst_02e4e89d168f,installed_component,OB_WATER_PUMP_KIT,OEM,Outboard Water Pump Kit,ENGINE,pump,180,OB_WPUMP,ves_7273c7a853d8,S5N2Z73YX0,1989-08-04,,233,C,
pinst_6267d3668e25,installed_component,OB_GEARCASE_SEAL_KIT,OEM,Outboard Gearcase Seal Kit,PROPULSION,seal_kit,95,OB_GEAR_SEAL,ves_7273c7a853d8,8F4WORC1G2,1995-06-04,,287,C,
pinst_0c1ba2f42789,installed_component,OB_LOWER_UNIT,OEM,Outboard Lower Unit Assy,PROPULSION,lower_unit,4800,OB_LOWER_UNIT,ves_7273c7a853d8,F5U0NSRD0D,1987-02-02,,295,F,
pinst_04732a33eabb,installed_component,OB_PROP_14IN,Solas,Outboard Prop 14in,PROPULSION,propeller,420,PROP_14,ves_7273c7a853d8,GYL1004K36,1988-04-06,,187,D,
pinst_df9ea1f2076a,installed_component,ENG_LONG_BLOCK_4CYL,OEM,4-Cyl Marine Long Block,ENGINE,long_block,9200,LB4,ves_7273c7a853d8,LYN5ME07LT,1988-07-19,,291,D,
pinst_103e0a5a22f3,installed_component,THERMOSTAT_MARINE,Sierra,Marine Thermostat,ENGINE,thermostat,48,THERMO,ves_7273c7a853d8,6EICC1492K,1991-08-04,,274,D,
pinst_dbceac611352,installed_component,FUEL_FILTER_SEPARATOR,Racor,Fuel/Water Separator,FUEL,filter,85,FUEL_SEP,ves_7273c7a853d8,X1FT3AEK8N,1995-10-24,,176,C,
pinst_4687f6bb7ea2,installed_component,FUEL_LINE_A1_10FT,Trident,A1 Fuel Hose 10ft,FUEL,hose,120,FUEL_HOSE_A1,ves_7273c7a853d8,QWSFYRYB5G,1990-01-01,,255,D,
pinst_a13a78c4f1c3,installed_component,FUEL_PUMP_LP,OEM,Low Pressure Fuel Pump,FUEL,pump,260,FUEL_PUMP_LP,ves_7273c7a853d8,1ZWK9VMDCQ,1990-06-16,,303,D,
pinst_61a01fd63192,installed_component,CRANK_POS_SENSOR,OEM,Crank Position Sensor,ENGINE,sensor,95,CRANK_SENSOR,ves_7273c7a853d8,6Z8VLJJIDB,1991-06-24,,235,C,
pinst_4ccb842c2ba1,installed_component,WINDOW_HATCH_20IN,Lewmar,20in Hatch,HULL,hatch,520,HATCH_20,ves_7273c7a853d8,42THTRIDF6,1995-01-07,,,B,
pinst_b8118188fd77,installed_component,STAINLESS_CLEAT_8IN,Attwood,8in SS Cleat,HULL,hardware,48,CLEAT_8,ves_7273c7a853d8,SJAY93LE5B,1989-12-14,,,C,
pinst_5e9d4076085f,installed_component,THRUHULL_1IN_BRONZE,Groco,1in Bronze Through-Hull,HULL,through_hull,145,THRUHULL_1IN,ves_4aaa1c2323b1,9H5YJHF14G,2012-04-02,,,B,
pinst_f4ad04186e4e,installed_component,SEACOCK_1IN_BRONZE,Groco,1in Bronze Seacock,HULL,seacock,210,SEACOCK_1IN,ves_4aaa1c2323b1,QYV6OZX8AG,2016-11-14,,,B,
pinst_d4c479ac4bbb,installed_component,BATTERY_AGM_100AH,Interstate,AGM 100Ah Battery,ELECTRICAL,battery,340,BATT_100,ves_4aaa1c2323b1,W8GO10KKJC,2018-07-28,,,B,
pinst_d7f9da646a0e,installed_component,ALTERNATOR_70A,Sierra,70A Alternator,ELECTRICAL,alternator,285,ALT_70,ves_4aaa1c2323b1,EBIGPBXBYP,2019-10-09,,,C,
pinst_2bfcbb7b567c,installed_component,BILGE_PUMP_2000,Rule,2000 GPH Bilge Pump,AUX,pump,145,BILGE_2000,ves_4aaa1c2323b1,59MS79ERZA,2020-09-05,,454,B,
pinst_2978bedbae30,installed_component,BILGE_FLOAT_SWITCH,Rule,Bilge Float Switch,AUX,switch,55,BILGE_FLOAT,ves_4aaa1c2323b1,Q2TA3TNTTS,2011-11-15,,621,C,
pinst_2accc35e2125,installed_component,MFD_9IN,Garmin,9in MFD,NAV,display,950,MFD_9,ves_4aaa1c2323b1,XY1YFZLFOK,2013-10-06,,395,C,
pinst_cab90f2d8874,installed_component,VHF_DSC_RADIO,ICOM,VHF DSC Radio,NAV,radio,240,VHF_DSC,ves_4aaa1c2323b1,XAH4YFCMIG,2016-06-28,,587,B,
pinst_e374118a9bbc,installed_component,TRIM_TAB_ACTUATOR,Lenco,Trim Tab Actuator,AUX,actuator,210,TRIM_ACT,ves_4aaa1c2323b1,6A93JY4CVE,2011-10-08,,629,C,
pinst_31caec4a040f,installed_component,HULL_TRANSOM_KIT,MarineCo,Transom Rebuild Kit,HULL,transom,3200,TRANSOM_KIT,ves_4aaa1c2323b1,78NDBRV6FZ,2020-08-27,,,C,
pinst_1d5d043f6809,installed_component,OB_WATER_PUMP_KIT,OEM,Outboard Water Pump Kit,ENGINE,pump,180,OB_WPUMP,ves_4aaa1c2323b1,LFPARICF9X,2019-01-25,,477,C,
pinst_f286f9cf7cb6,installed_component,OB_GEARCASE_SEAL_KIT,OEM,Outboard Gearcase Seal Kit,PROPULSION,seal_kit,95,OB_GEAR_SEAL,ves_4aaa1c2323b1,WK4OHF92ZW,2016-08-06,,417,B,
pinst_36fb0a7ba812,installed_component,OB_LOWER_UNIT,OEM,Outboard Lower Unit Assy,PROPULSION,lower_unit,4800,OB_LOWER_UNIT,ves_4aaa1c2323b1,LRGK6YVBP7,2014-02-02,,425,C,
pinst_c88d3f44431e,installed_component,OB_PROP_14IN,Solas,Outboard Prop 14in,PROPULSION,propeller,420,PROP_14,ves_4aaa1c2323b1,GWLKLQLRQQ,2010-12-24,,474,C,
pinst_e7f3b62ec738,installed_component,ENG_LONG_BLOCK_V8,OEM,V8 Marine Long Block,ENGINE,long_block,15800,LBV8,ves_4aaa1c2323b1,Z1FWLIID5Y,2020-05-27,,486,C,
pinst_fc826b8e004b,installed_component,THERMOSTAT_MARINE,Sierra,Marine Thermostat,ENGINE,thermostat,48,THERMO,ves_4aaa1c2323b1,8YE9M9KWVH,2014-04-06,,402,C,
pinst_87e0033fbc75,installed_component,FUEL_FILTER_SEPARATOR,Racor,Fuel/Water Separator,FUEL,filter,85,FUEL_SEP,ves_4aaa1c2323b1,EH4KRWYDWE,2018-03-02,,513,C,
pinst_2d1a51cc4d52,installed_component,FUEL_LINE_A1_10FT,Trident,A1 Fuel Hose 10ft,FUEL,hose,120,FUEL_HOSE_A1,ves_4aaa1c2323b1,7C90H26A75,2011-04-11,,571,C,
pinst_56dd60fada67,installed_component,FUEL_PUMP_LP,OEM,Low Pressure Fuel Pump,FUEL,pump,260,FUEL_PUMP_LP,ves_4aaa1c2323b1,O7T2MJQJDW,2017-01-24,,466,C,
pinst_10d3913c9ec3,installed_component,CRANK_POS_SENSOR,OEM,Crank Position Sensor,ENGINE,sensor,95,CRANK_SENSOR,ves_4aaa1c2323b1,O1XXLU4B5L,2017-11-24,,544,C,
pinst_5ceb9c33ff48,installed_component,WINDOW_HATCH_20IN,Lewmar,20in Hatch,HULL,hatch,520,HATCH_20,ves_4aaa1c2323b1,KAQ18EE2JF,2020-04-16,,,B,
pinst_330a0a7c2263,installed_component,BUS_BAR_12V,Blue Sea,12V Bus Bar,ELECTRICAL,bus_bar,55,BUSBAR_12,ves_4aaa1c2323b1,DL1EY5FY4L,2017-01-05,,,C,
pinst_e78329e99147,installed_component,THRUHULL_1IN_BRONZE,Groco,1in Bronze Through-Hull,HULL,through_hull,145,THRUHULL_1IN,ves_6b5563e8c2f4,KGB8NA9NLB,2005-02-10,,,B,
pinst_b3c938e47d8b,installed_component,SEACOCK_1IN_BRONZE,Groco,1in Bronze Seacock,HULL,seacock,210,SEACOCK_1IN,ves_6b5563e8c2f4,OHP8QEVPFE,2004-10-06,,,B,
pinst_639c253ecf03,installed_component,BATTERY_AGM_100AH,Interstate,AGM 100Ah Battery,ELECTRICAL,battery,340,BATT_100,ves_6b5563e8c2f4,OD4OFO3J87,2003-03-17,,,C,
pinst_cf353d9384f8,installed_component,ALTERNATOR_70A,Sierra,70A Alternator,ELECTRICAL,alternator,285,ALT_70,ves_6b5563e8c2f4,23ENCTJO64,2006-07-17,,,C,
pinst_2b8bed2fa151,installed_component,BILGE_PUMP_2000,Rule,2000 GPH Bilge Pump,AUX,pump,145,BILGE_2000,ves_6b5563e8c2f4,BAA431SK33,1996-10-15,,621,C,
pinst_443a9d3cce21,installed_component,BILGE_FLOAT_SWITCH,Rule,Bilge Float Switch,AUX,switch,55,BILGE_FLOAT,ves_6b5563e8c2f4,7XJXPEM7UT,1997-04-04,,773,C,
pinst_81ee03a051f1,installed_component,MFD_9IN,Garmin,9in MFD,NAV,display,950,MFD_9,ves_6b5563e8c2f4,3QQ8VHWQRK,2006-04-07,,861,C,
pinst_85e79a279880,installed_component,RADAR_DOME_18,Garmin,18in Radar Dome,NAV,radar,1650,RADAR_18,ves_6b5563e8c2f4,QQCLX96XVE,1996-09-17,,785,C,
pinst_f746532f4463,installed_component,VHF_DSC_RADIO,ICOM,VHF DSC Radio,NAV,radio,240,VHF_DSC,ves_6b5563e8c2f4,JG2GA72R8U,1999-02-11,,686,D,
pinst_06e2c53e47a9,installed_component,AUTOPILOT_PUMP,Garmin,Autopilot Pump,NAV,autopilot,890,AP_PUMP,ves_6b5563e8c2f4,1SZA92IVQ5,2003-08-11,,730,C,
pinst_d46165b65d27,installed_component,WATER_PUMP_5GPM,Shurflo,5 GPM Water Pump,AUX,pump,145,FW_PUMP_5,ves_6b5563e8c2f4,P69H218OXM,1998-05-16,,789,D,
pinst_7d6e74d4398a,installed_component,SANITATION_HOSE_10FT,Trident,Sanitation Hose 10ft,AUX,hose,135,SAN_HOSE,ves_6b5563e8c2f4,7FHAH1JH74,2000-05-14,,850,C,
pinst_ad9a1a85d51d,installed_component,MACERATOR_PUMP,Jabsco,Macerator Pump,AUX,pump,290,MACERATOR,ves_6b5563e8c2f4,MF09FWEYSH,2005-01-16,,970,C,
pinst_22ae11c744d2,installed_component,AC_RAW_WATER_PUMP,March,AC Raw Water Pump,AUX,pump,390,AC_WPUMP,ves_6b5563e8c2f4,DRRVHYSLPB,2002-12-14,,804,D,
pinst_e3115bdb436b,installed_component,HELM_PUMP_HYD,SeaStar,Hydraulic Helm Pump,STEERING,helm,510,HELM_HYD,ves_6b5563e8c2f4,EAH4R7SKUK,2000-07-27,,652,C,
pinst_bbc039439ae2,installed_component,HYD_STEERING_CYL,SeaStar,Hydraulic Steering Cylinder,STEERING,cylinder,620,STEER_CYL,ves_6b5563e8c2f4,3HNDYS5MB7,2003-06-07,,1029,C,
pinst_205d72c8d6ab,installed_component,HULL_STRINGER_SET,MarineCo,Stringer Set,HULL,stringer,2800,STRINGER_SET,ves_6b5563e8c2f4,V89NKRNVXH,1999-04-08,,,D,
pinst_894d185cbeac,installed_component,HULL_TRANSOM_KIT,MarineCo,Transom Rebuild Kit,HULL,transom,3200,TRANSOM_KIT,ves_6b5563e8c2f4,E0XRMIPLR0,2005-04-12,,,C,
pinst_9c5fbd014a18,installed_component,HULL_CORE_PANEL,MarineCo,Composite Core Panel,HULL,core_panel,450,CORE_PANEL,ves_6b5563e8c2f4,WH0597M544,1998-01-10,,,D,
pinst_6c142cbafd16,installed_component,BELLOWS_EXHAUST,Mercury,Exhaust Bellows,PROPULSION,bellows,95,BELLOWS_EXH,ves_6b5563e8c2f4,O5H669RJ3H,2002-12-20,,1003,C,
pinst_14f33656611c,installed_component,BELLOWS_UJOINT,Mercury,U-Joint Bellows,PROPULSION,bellows,110,BELLOWS_UJ,ves_6b5563e8c2f4,1U0SWXNK7Q,1996-04-09,,863,D,
pinst_9dd56091ad5e,installed_component,GIMBAL_BEARING,Mercury,Gimbal Bearing,PROPULSION,bearing,185,GIMBAL_BRG,ves_6b5563e8c2f4,51ZTXRTA0Z,2004-10-19,,1051,C,
pinst_f58e457814a5,installed_component,UJOINT_SET,Mercury,U-Joint Set,PROPULSION,u_joint,210,UJOINT_SET,ves_6b5563e8c2f4,TJVNK6MZOA,2006-09-01,,718,C,
pinst_2c9ccc1096c2,installed_component,OB_PROP_14IN,Solas,Outboard Prop 14in,PROPULSION,propeller,420,PROP_14,ves_6b5563e8c2f4,EG85LHM8MB,1998-01-23,,760,C,
pinst_9349e01e7403,installed_component,EXHAUST_RISER_V8,Barr,V8 Exhaust Riser,ENGINE,exhaust_riser,650,RISER_V8,ves_6b5563e8c2f4,BW1V2KM81H,2002-12-02,,1021,D,
pinst_41ec3b792b79,installed_component,ENG_LONG_BLOCK_V8,OEM,V8 Marine Long Block,ENGINE,long_block,15800,LBV8,ves_6b5563e8c2f4,E81EGP1RD0,2005-06-18,,767,F,
pinst_014f861ef5dc,installed_component,THERMOSTAT_MARINE,Sierra,Marine Thermostat,ENGINE,thermostat,48,THERMO,ves_6b5563e8c2f4,CXE6TCS55P,2001-01-08,,776,C,
pinst_cca079ec338e,installed_component,FUEL_FILTER_SEPARATOR,Racor,Fuel/Water Separator,FUEL,filter,85,FUEL_SEP,ves_6b5563e8c2f4,H67T3SEYOL,1998-09-11,,996,B,
pinst_c8a62739e614,installed_component,FUEL_LINE_A1_10FT,Trident,A1 Fuel Hose 10ft,FUEL,hose,120,FUEL_HOSE_A1,ves_6b5563e8c2f4,W0OO10ALOV,1998-12-26,,849,D,
pinst_658c80a934d6,installed_component,FUEL_PUMP_LP,OEM,Low Pressure Fuel Pump,FUEL,pump,260,FUEL_PUMP_LP,ves_6b5563e8c2f4,F5IGH9L8EP,1996-12-11,,949,C,
pinst_7d23e7624d5e,installed_component,CRANK_POS_SENSOR,OEM,Crank Position Sensor,ENGINE,sensor,95,CRANK_SENSOR,ves_6b5563e8c2f4,EBJ3FBW7FQ,2003-11-19,,673,C,
pinst_7e649c2fb3ce,installed_component,WINDOW_HATCH_20IN,Lewmar,20in Hatch,HULL,hatch,520,HATCH_20,ves_6b5563e8c2f4,0DVYIPNCQ3,2005-12-23,,,B,
pinst_4f6429e0b7e6,installed_component,STAINLESS_CLEAT_8IN,Attwood,8in SS Cleat,HULL,hardware,48,CLEAT_8,ves_6b5563e8c2f4,2Z67VRMQYR,2001-09-05,,,B,
pinst_0323b6f14362,installed_component,CHARGER_20A,ProMariner,20A Charger,ELECTRICAL,charger,330,CHARGER_20,ves_6b5563e8c2f4,UQZN4NPOAC,1999-12-01,,,D,
pinst_cc451239c033,installed_component,BUS_BAR_12V,Blue Sea,12V Bus Bar,ELECTRICAL,bus_bar,55,BUSBAR_12,ves_6b5563e8c2f4,R3GYZJPSLX,1999-12-21,,,C,
pinst_e726f561335f,installed_component,THRUHULL_1IN_BRONZE,Groco,1in Bronze Through-Hull,HULL,through_hull,145,THRUHULL_1IN,ves_e85c97dcf495,FSAAGFIWID,2013-11-24,,,A,
pinst_7034b382922b,installed_component,SEACOCK_1IN_BRONZE,Groco,1in Bronze Seacock,HULL,seacock,210,SEACOCK_1IN,ves_e85c97dcf495,6G85SGTYW0,2012-11-08,,,B,
pinst_6140c1bb5904,installed_component,BATTERY_AGM_100AH,Interstate,AGM 100Ah Battery,ELECTRICAL,battery,340,BATT_100,ves_e85c97dcf495,2C5CQP4M3X,2007-05-08,,,C,
pinst_2d1ce7eb0931,installed_component,ALTERNATOR_70A,Sierra,70A Alternator,ELECTRICAL,alternator,285,ALT_70,ves_e85c97dcf495,XPUWQ1KIJ8,2010-08-25,,,B,
pinst_0dfa5ea3f83c,installed_component,BILGE_PUMP_2000,Rule,2000 GPH Bilge Pump,AUX,pump,145,BILGE_2000,ves_e85c97dcf495,ZYCD5TAFJY,2007-10-08,,466,C,
