inspection_id,vessel_id,work_order_id,part_component_id,inspection_type,inspector_role,hull_moisture_pct,compression_psi,oil_analysis_flags,corrosion_grade,wiring_submersion_flag,condition_grade,estimated_defect_cost,safety_critical_flags,created_at
insp_0462bcbfbc24,ves_e85c97dcf495,wo_66fab2e05b21,,post_failure,yard,14.35,{},"[""metal_elevated"", ""normal""]",moderate,False,fair,493.53,[],2016-02-15T14:00:00
insp_39a085dcff22,ves_bbe230212bed,wo_1f8eedd89962,,post_failure,tech,16.69,"{""cyl1"": 100, ""cyl2"": 175}","[""fuel_dilution""]",light,False,fair,2023.68,[],2023-08-17T08:00:00
insp_cc6124486cca,ves_bbe230212bed,wo_78b8413639e0,,pre_purchase,tech,11.76,{},[],light,False,fair,501.69,[],2014-07-05T15:00:00
insp_69ef5995b30a,ves_bbe230212bed,wo_4b62f84ea9de,,salvage_intake,surveyor,19.07,{},"[""fuel_dilution""]",none,False,fair,5901.87,[],2019-02-13T08:00:00
insp_ff1bf62dd04b,ves_adebceae0fad,wo_2983c3db5341,,post_failure,tech,18.65,"{""cyl1"": 139, ""cyl2"": 183}","[""normal"", ""metal_elevated""]",severe,False,good,1948.37,[],2022-01-04T15:00:00
insp_f313b8e4d680,ves_adebceae0fad,wo_045c972ccafc,,survey,tech,7.28,{},[],light,False,good,334.52,[],2018-06-21T10:00:00
insp_74a29608f1d8,ves_adebceae0fad,wo_5e1e98c67468,,post_failure,surveyor,6.69,{},[],none,False,good,715.75,[],2017-07-15T16:00:00
insp_f301eb0805a9,ves_adebceae0fad,wo_b64b0c829857,,salvage_intake,yard,4.01,{},[],moderate,False,good,508.71,[],2021-06-02T13:00:00
insp_382e43468f74,ves_216327f6caf4,wo_813c25f7376e,,post_failure,surveyor,7.41,{},"[""fuel_dilution""]",none,False,fair,754.78,[],2020-01-02T12:00:00
insp_e9db75010dee,ves_216327f6caf4,wo_c1a2faf0384f,,survey,tech,10.73,{},"[""fuel_dilution"", ""normal""]",moderate,False,fair,1958.64,[],2014-12-15T08:00:00
insp_5d8d88c2f1e5,ves_216327f6caf4,wo_a578a984a71e,,post_failure,yard,15.83,{},"[""coolant_trace""]",moderate,False,fair,3792.79,[],2026-09-22T10:00:00
insp_f9ab53358c40,ves_216327f6caf4,wo_aa444f2dee00,,post_failure,yard,10.02,{},"[""coolant_trace""]",none,False,fair,385.0,[],2022-07-19T11:00:00
insp_b4af2fe2d0f2,ves_216327f6caf4,wo_66427a52981f,,post_failure,yard,16.93,{},"[""coolant_trace""]",light,False,fair,20495.3,[],2017-02-01T08:00:00
insp_7a5b1e40bf50,ves_b82ef7fe4a1f,wo_16a8c0c82f13,,post_failure,surveyor,9.03,{},"[""normal""]",severe,False,good,1513.19,[],2019-05-15T11:00:00
insp_59e7a6ec583e,ves_b82ef7fe4a1f,wo_971f5e48d4d7,,survey,yard,13.69,{},"[""coolant_trace"", ""metal_elevated""]",none,False,good,522.96,[],2017-10-05T08:00:00
insp_44eb7072541b,ves_4d4f3133f393,wo_42ea97b53f31,,post_failure,tech,5.68,"{""cyl1"": 177, ""cyl2"": 158}","[""fuel_dilution""]",moderate,False,fair,27815.49,[],2025-03-12T11:00:00
insp_7ac62a856487,ves_4d4f3133f393,wo_42ffbd7ef983,,post_failure,yard,11.17,{},"[""metal_elevated"", ""fuel_dilution""]",none,False,fair,29588.81,"[""must_repair_before_use""]",2022-08-04T12:00:00
insp_61b1a442c63f,ves_c7a94159f732,wo_e805c9404533,,survey,insurer,1.07,{},"[""coolant_trace""]",none,False,good,967.94,[],2014-12-21T09:00:00
insp_6cd9291f6398,ves_c7a94159f732,wo_2cfa8132e0f1,,pre_purchase,surveyor,11.69,"{""cyl1"": 100, ""cyl2"": 171}",[],moderate,False,good,16769.41,[],2024-12-06T12:00:00
insp_f66363c1fcdb,ves_f2595bc067f0,wo_2395b0f384d2,,salvage_intake,surveyor,10.14,"{""cyl1"": 171, ""cyl2"": 138}","[""coolant_trace"", ""fuel_dilution""]",moderate,False,excellent,2817.95,[],2025-09-03T13:00:00
insp_c53cb37f82f1,ves_f2595bc067f0,wo_ea8092fcac4e,,survey,tech,1.98,{},"[""normal"", ""metal_elevated""]",none,False,excellent,2941.28,[],2021-09-16T13:00:00
insp_2890ed77bd80,ves_f2595bc067f0,wo_c48b7c957351,,post_failure,tech,8.01,{},"[""metal_elevated""]",moderate,False,excellent,806.56,[],2022-03-06T11:00:00
insp_4a6467efa09e,ves_f2595bc067f0,wo_286dee26c7be,,post_failure,tech,4.02,"{""cyl1"": 91, ""cyl2"": 181}","[""fuel_dilution"", ""normal""]",severe,False,excellent,475.01,[],2018-01-17T11:00:00
insp_8925484ad8f4,ves_f2595bc067f0,wo_f8782e825661,,post_failure,insurer,9.27,{},"[""coolant_trace"", ""metal_elevated""]",light,False,excellent,2437.24,[],2025-09-18T15:00:00
insp_be7299d0c466,ves_e130f327298b,wo_3f992b9e6b54,,post_failure,insurer,11.57,{},"[""normal""]",light,False,fair,5337.64,[],2022-02-25T09:00:00
insp_a4f592d4deed,ves_e130f327298b,wo_6491e602925d,,post_failure,insurer,9.25,{},[],none,False,fair,338.65,[],2014-06-18T13:00:00
insp_a1cbbb185343,ves_e130f327298b,wo_80748de82daa,,post_failure,tech,4.57,{},[],light,False,fair,180.77,[],2018-12-10T15:00:00
insp_c458104bd873,ves_e130f327298b,wo_04764d919f44,,post_failure,tech,16.67,{},"[""metal_elevated""]",light,False,fair,864.1,[],2025-10-23T16:00:00
insp_85671b3e5096,ves_e130f327298b,wo_0a23431cca0c,,survey,surveyor,22.58,{},"[""fuel_dilution"", ""normal""]",none,False,fair,28258.96,"[""must_repair_before_use""]",2025-05-12T10:00:00
insp_8feba029af2e,ves_e130f327298b,wo_98e08a75bd77,,post_failure,yard,5.45,{},"[""coolant_trace""]",light,False,fair,1472.86,[],2025-04-11T08:00:00
insp_236ccf5c8a91,ves_fb6e986d0744,wo_dd5e19bbc370,,survey,tech,17.21,{},"[""metal_elevated"", ""normal""]",moderate,False,fair,35632.34,"[""must_repair_before_use""]",2021-09-08T12:00:00
insp_e44553944f40,ves_fb6e986d0744,wo_4b44102c304b,,post_failure,tech,9.3,{},"[""metal_elevated""]",none,False,fair,717.3,[],2014-12-12T11:00:00
insp_d070d7213a3a,ves_fb6e986d0744,wo_fa0b747e1d01,,post_failure,insurer,14.76,{},"[""coolant_trace"", ""fuel_dilution""]",light,False,fair,1441.67,[],2016-04-16T14:00:00
insp_55242477e958,ves_fb6e986d0744,wo_591a637c13e6,,survey,tech,16.07,{},"[""coolant_trace"", ""metal_elevated""]",severe,False,fair,1382.34,[],2016-10-10T16:00:00
insp_505341353b87,ves_2b1070eb73f5,wo_605b568211a1,,salvage_intake,yard,0.0,{},"[""coolant_trace""]",light,False,fair,10034.68,[],2017-02-06T10:00:00
insp_eaf330194e54,ves_8ed83e346266,wo_8ee9ad5a9058,,post_failure,tech,0.0,{},[],light,False,fair,566.42,[],2019-08-20T13:00:00
insp_b94d30c3bb87,ves_8ed83e346266,wo_38a7539ac2ab,,post_failure,tech,5.25,{},"[""normal""]",none,False,fair,1063.45,[],2014-05-17T11:00:00
insp_034c0e99b46a,ves_e3d7ab48e36b,wo_a1669479676c,,post_failure,yard,0.0,{},[],severe,False,fair,3130.01,[],2015-09-11T12:00:00
insp_d3d1707edeb8,ves_f338eaec1611,wo_3b226a4ccce4,,post_failure,tech,8.01,{},"[""fuel_dilution"", ""normal""]",light,False,poor,9523.42,[],2019-12-14T08:00:00
insp_1fef471cfdaa,ves_f338eaec1611,wo_5b26bdefbcf9,,post_failure,tech,8.25,"{""cyl1"": 134, ""cyl2"": 171}","[""coolant_trace""]",moderate,False,poor,612.78,[],2016-08-03T13:00:00
insp_6ae9a915b4e1,ves_f338eaec1611,wo_3704f1acc756,,post_failure,tech,8.53,{},"[""fuel_dilution"", ""coolant_trace""]",severe,False,poor,3976.06,[],2023-06-21T09:00:00
insp_04a017f3edba,ves_f338eaec1611,wo_d6edb5583f87,,salvage_intake,surveyor,19.5,{},"[""normal""]",none,False,poor,41347.17,"[""must_repair_before_use""]",2019-02-05T11:00:00
insp_8ab544040fc1,ves_f338eaec1611,wo_cca5ea8d4fa7,,post_failure,yard,14.85,{},[],light,False,poor,830.79,[],2019-08-06T14:00:00
insp_60ddee2ba753,ves_daa8bc494074,wo_42c6a394d10c,,post_failure,tech,0.0,{},"[""normal"", ""fuel_dilution""]",moderate,False,fair,5427.36,[],2018-07-01T08:00:00
insp_1060ef32ce75,ves_daa8bc494074,wo_858f8d8090f3,,post_failure,surveyor,0.0,"{""cyl1"": 150, ""cyl2"": 153}","[""coolant_trace""]",none,False,fair,328.27,[],2023-12-02T13:00:00
insp_1acffd0ab873,ves_fe262ed8c4bc,wo_0e3e7b8d3ff4,,post_failure,tech,9.26,"{""cyl1"": 109, ""cyl2"": 172}",[],none,False,very_good,922.31,[],2014-03-21T14:00:00
insp_12af16e6d560,ves_69f1d82b3eae,wo_18d2ecd6dd73,,post_failure,surveyor,21.04,{},"[""metal_elevated"", ""fuel_dilution""]",light,False,good,37573.67,"[""must_repair_before_use""]",2021-05-13T09:00:00
insp_b7aaf9510fb3,ves_69f1d82b3eae,wo_24da0fcc88a4,,post_failure,surveyor,7.98,{},"[""fuel_dilution"", ""normal""]",none,False,good,4783.38,[],2015-06-06T12:00:00
insp_e4584f43ae86,ves_d9e504bbe7a3,wo_5a925d6253ef,,post_failure,tech,13.3,"{""cyl1"": 178, ""cyl2"": 95}","[""metal_elevated"", ""fuel_dilution""]",severe,False,excellent,27923.25,[],2026-04-24T15:00:00
insp_c6566ab70aca,ves_895a119cdc64,wo_275e11d71492,,survey,insurer,0.0,{},"[""fuel_dilution""]",none,False,good,850.28,[],2018-05-07T14:00:00
insp_b86b5fe53f06,ves_895a119cdc64,wo_4fee16fc6b4f,,post_failure,tech,13.86,{},"[""normal"", ""metal_elevated""]",none,False,good,1028.27,[],2015-09-20T14:00:00
insp_73654af83dc0,ves_47cba761526a,wo_54793c28280b,,survey,surveyor,10.74,{},"[""fuel_dilution""]",light,False,fair,950.08,[],2018-03-21T16:00:00
insp_c2cb84f863a9,ves_47cba761526a,wo_918858bbda71,,post_failure,tech,10.45,"{""cyl1"": 98, ""cyl2"": 164}","[""normal"", ""fuel_dilution""]",none,False,fair,2499.89,[],2015-07-12T12:00:00
insp_8ece4eb00558,ves_47cba761526a,wo_4acc7675d333,,post_failure,tech,5.26,{},[],moderate,False,fair,323.82,[],2014-03-15T15:00:00
insp_c2b1b432e8ef,ves_47cba761526a,wo_cd87cf0e3e09,,salvage_intake,tech,1.42,{},[],none,False,fair,756.52,[],2019-08-03T15:00:00
insp_674a7b27104d,ves_47cba761526a,wo_8d40163d3214,,survey,tech,9.86,{},[],light,False,fair,1000.72,[],2020-04-02T16:00:00
insp_6ec0cce8c5e1,ves_f793c492b5b4,wo_5a932985abaf,,post_failure,tech,10.05,{},[],none,False,poor,9857.69,[],2015-06-18T12:00:00
insp_edb79461ee59,ves_ef844f8f7adc,wo_f9c727144800,,post_failure,surveyor,9.1,{},[],moderate,False,excellent,1476.19,[],2024-12-15T09:00:00
insp_361d13fbc69d,ves_ef844f8f7adc,wo_f8ad046b2691,,post_failure,tech,15.13,{},[],moderate,False,excellent,5009.77,[],2026-09-13T08:00:00
insp_bf483670f377,ves_7b645c568f40,wo_8148c402c177,,survey,yard,4.99,{},"[""fuel_dilution"", ""normal""]",severe,False,good,1118.91,[],2025-10-02T08:00:00
insp_d8bf4dd34c25,ves_7b645c568f40,wo_f79f89df89fa,,post_failure,tech,3.65,{},"[""fuel_dilution""]",severe,False,good,771.05,[],2021-12-17T11:00:00
insp_0b899aa8dd1e,ves_10beb69891f5,wo_02effc4c1515,,post_failure,tech,1.55,{},[],none,False,excellent,820.9,[],2024-09-23T12:00:00
insp_3d405f9c9a0a,ves_56cfff14c63e,wo_9654e5224f71,,salvage_intake,tech,19.79,{},"[""normal""]",none,False,fair,1150.06,[],2018-12-25T10:00:00
insp_80fd82587047,ves_56cfff14c63e,wo_52bae7e1b63c,,survey,yard,0.0,{},"[""coolant_trace""]",moderate,False,fair,1885.91,[],2026-01-20T09:00:00
insp_520682d60932,ves_56cfff14c63e,wo_e0bd933b8827,,post_failure,surveyor,9.13,"{""cyl1"": 183, ""cyl2"": 103}","[""normal""]",light,False,fair,5110.5,[],2023-11-20T14:00:00
insp_aa8e2462b6e3,ves_56cfff14c63e,wo_fba5f55c0244,,post_failure,tech,17.85,{},"[""fuel_dilution""]",none,False,fair,2661.7,[],2022-05-25T08:00:00
insp_e0e1e1fc3344,ves_24e6b6e0043c,wo_ec00d71498ad,,post_failure,yard,6.19,"{""cyl1"": 169, ""cyl2"": 156}",[],light,False,poor,277.47,[],2016-04-22T15:00:00
insp_3ed43dfbb593,ves_24e6b6e0043c,wo_d0b0f5f8a546,,post_failure,surveyor,10.2,{},"[""normal""]",moderate,False,poor,1628.32,[],2020-02-15T16:00:00
insp_85bee20b4171,ves_26f2f107f8e3,wo_3b5758a9c36d,,survey,tech,15.8,{},"[""fuel_dilution""]",none,False,fair,1098.1,[],2016-12-10T12:00:00
insp_c86d6e101225,ves_26f2f107f8e3,wo_bfe0307040d3,,salvage_intake,yard,9.82,{},[],light,False,fair,734.43,[],2018-11-15T10:00:00
insp_781d1df307d4,ves_26f2f107f8e3,wo_961b7960deaa,,salvage_intake,insurer,8.65,{},[],light,False,fair,1238.17,[],2015-10-11T15:00:00
insp_43875c9cbc5b,ves_26f2f107f8e3,wo_24192c69ed98,,post_failure,tech,9.3,{},[],light,False,fair,1038.2,[],2015-02-21T09:00:00
insp_ecf3133e2da6,ves_26f2f107f8e3,wo_43a0a0f70402,,survey,tech,14.02,{},"[""normal"", ""metal_elevated""]",light,False,fair,786.05,[],2023-09-10T10:00:00
insp_aa519fb59e58,ves_26f2f107f8e3,wo_d936f35b31f3,,post_failure,tech,7.19,"{""cyl1"": 130, ""cyl2"": 141}","[""normal""]",none,False,fair,6751.22,[],2016-05-01T09:00:00
insp_fe8432b210ed,ves_26f2f107f8e3,wo_d3573969cfc0,,post_failure,tech,12.64,{},"[""normal""]",moderate,False,fair,344.96,[],2016-11-21T13:00:00
insp_75bd74fbe397,ves_067e06f225a9,wo_17190da65d58,,post_failure,yard,7.48,"{""cyl1"": 160, ""cyl2"": 178}",[],light,False,fair,6070.16,[],2024-05-17T12:00:00
insp_a3f3487f3d7e,ves_1221656c5df8,wo_65ff0234a194,,post_failure,surveyor,8.15,{},[],none,False,good,3369.6,[],2025-07-25T12:00:00
insp_868872692374,ves_1221656c5df8,wo_d0290f841549,,post_failure,tech,16.49,"{""cyl1"": 171, ""cyl2"": 140}","[""fuel_dilution"", ""metal_elevated""]",none,False,good,16179.81,[],2015-05-10T09:00:00
insp_a470dd987ceb,ves_1221656c5df8,wo_7ef64a595a92,,survey,tech,17.98,{},"[""coolant_trace"", ""fuel_dilution""]",light,False,good,20230.07,"[""must_repair_before_use""]",2025-05-16T15:00:00
insp_3fa4b51dad21,ves_76312f84f468,wo_fe31b0a56129,,post_failure,yard,6.18,"{""cyl1"": 180, ""cyl2"": 179}","[""fuel_dilution""]",severe,False,excellent,4188.43,[],2024-06-22T16:00:00
insp_8c5931aad256,ves_76312f84f468,wo_cc6972e442f7,,salvage_intake,yard,11.7,{},"[""coolant_trace""]",none,False,excellent,847.07,[],2022-10-01T16:00:00
insp_9e413d5f62a8,ves_76312f84f468,wo_1bd346a1857d,,post_failure,tech,4.1,{},[],light,False,excellent,1408.58,[],2017-08-08T10:00:00
insp_11c8fb842b38,ves_76312f84f468,wo_159f3c5aa50e,,survey,tech,3.6,{},"[""coolant_trace"", ""normal""]",moderate,False,excellent,481.49,[],2014-02-17T09:00:00
insp_806b978bdf30,ves_427714fce32f,wo_9f1c4225bbda,,survey,yard,8.02,{},"[""fuel_dilution""]",light,False,fair,2205.48,[],2021-06-21T11:00:00
insp_87adf1d8eb80,ves_427714fce32f,wo_9ed4955fc31a,,survey,tech,9.49,{},[],severe,False,fair,15228.98,"[""must_repair_before_use""]",2022-10-21T14:00:00
insp_a76541e7e9a2,ves_427714fce32f,wo_a7b655cdd048,,post_failure,tech,7.97,{},"[""metal_elevated""]",light,False,fair,1367.41,[],2021-09-16T11:00:00
insp_e1ed0ad98c1f,ves_b3b5d41ebeb2,wo_9479a4345a4a,,post_failure,tech,0.0,{},"[""coolant_trace""]",none,False,very_good,834.54,[],2024-10-19T09:00:00
insp_7fadb4bd2edc,ves_b3b5d41ebeb2,wo_bad0c1895b4b,,post_failure,tech,16.07,{},"[""fuel_dilution""]",none,False,very_good,675.37,[],2024-12-24T08:00:00
insp_b7c2c0a4bba0,ves_b3b5d41ebeb2,wo_6cccf15597bf,,survey,tech,15.07,"{""cyl1"": 122, ""cyl2"": 155}","[""fuel_dilution""]",moderate,False,very_good,2632.24,[],2024-07-10T10:00:00
insp_7804bac07beb,ves_754ea39858fa,wo_55d210ef3711,,post_failure,surveyor,10.87,{},[],severe,False,poor,287.62,[],2022-11-09T16:00:00
insp_50a55c34bc3b,ves_754ea39858fa,wo_3f2fff6a715c,,post_failure,yard,1.54,{},[],none,False,poor,483.2,[],2018-07-08T16:00:00
insp_c93b49a8eef4,ves_754ea39858fa,wo_326302be18e8,,salvage_intake,surveyor,6.47,{},"[""metal_elevated""]",severe,False,poor,544.73,[],2024-08-01T12:00:00
insp_9069f864bfdd,ves_dc65da7f9a11,wo_e3185858520e,,post_failure,insurer,13.46,"{""cyl1"": 129, ""cyl2"": 171}",[],none,False,very_good,40999.67,[],2026-02-14T12:00:00
insp_460d99fd94dc,ves_dc65da7f9a11,wo_4b21954f19a9,,salvage_intake,yard,12.43,{},"[""coolant_trace""]",none,False,very_good,3918.77,[],2025-11-05T13:00:00
insp_cf42d3166dae,ves_048ed2bd10e3,wo_85134c639548,,post_failure,yard,21.94,{},[],light,False,good,9329.73,[],2021-09-19T09:00:00
insp_c980751966dd,ves_a41765e23690,wo_257d0c94d1f4,,post_failure,tech,2.4,"{""cyl1"": 101, ""cyl2"": 172}","[""metal_elevated""]",moderate,False,excellent,4058.87,[],2020-10-10T16:00:00
insp_b6fefa5e18ed,ves_a41765e23690,wo_f412afcfd873,,salvage_intake,tech,10.8,{},"[""normal""]",none,False,excellent,913.52,[],2026-01-12T11:00:00
insp_07e4221dec70,ves_a41765e23690,wo_55906d35a4de,,post_failure,surveyor,11.34,{},"[""fuel_dilution""]",light,False,excellent,33683.95,"[""must_repair_before_use""]",2026-07-08T14:00:00
insp_04100a660c53,ves_e19818b51c5e,wo_657d60f27121,,post_failure,tech,4.86,{},"[""fuel_dilution""]",moderate,False,fair,657.21,[],2024-04-06T14:00:00
insp_6680ebac40e5,ves_e19818b51c5e,wo_d7a2f4ff3cfe,,post_failure,tech,16.72,{},[],light,False,fair,11324.47,[],2025-02-05T11:00:00
insp_f702a288721f,ves_e19818b51c5e,wo_ab4c83c6eb4d,,salvage_intake,tech,9.15,{},"[""fuel_dilution""]",light,False,fair,1045.37,[],2017-07-17T13:00:00
insp_a612bebbfbde,ves_e19818b51c5e,wo_61338eeeeaec,,salvage_intake,surveyor,5.38,{},[],light,False,fair,129.31,[],2015-01-08T09:00:00
insp_bf0a638debe8,ves_e19818b51c5e,wo_2847e4c5e21a,,post_failure,tech,0.0,{},"[""metal_elevated"", ""coolant_trace""]",none,False,fair,711.67,[],2023-09-05T15:00:00
insp_be3234eedbd9,ves_4489205afd0c,wo_b02c1e3654b2,,survey,surveyor,7.59,{},"[""metal_elevated""]",none,False,good,579.69,[],2014-12-20T12:00:00
insp_3c5aba0dfaec,ves_4489205afd0c,wo_f2abf9a5c272,,post_failure,tech,7.12,{},"[""coolant_trace""]",light,False,good,22529.79,"[""must_repair_before_use""]",2015-07-08T16:00:00
insp_0f9f682e39b9,ves_6056afa6bcce,wo_1c8f53757574,,post_failure,tech,3.97,"{""cyl1"": 153, ""cyl2"": 100}","[""normal"", ""fuel_dilution""]",light,False,good,15496.43,[],2022-02-03T16:00:00
insp_1c5a6bc95be3,ves_858dd7bba5bf,wo_2709c3ed69e8,,salvage_intake,insurer,13.84,{},"[""fuel_dilution"", ""coolant_trace""]",none,False,fair,1390.75,[],2026-10-14T12:00:00
insp_5ee5a7d306a4,ves_7d391cb7f682,wo_6df1f9d14de5,,survey,tech,13.51,{},"[""fuel_dilution""]",none,False,very_good,836.18,[],2023-07-13T15:00:00
insp_97702cb3c100,ves_e64d5b6118cf,wo_91ed4e449f73,,post_failure,tech,1.49,{},"[""fuel_dilution"", ""normal""]",moderate,False,excellent,4550.12,[],2026-02-06T13:00:00
insp_6644e488d0cb,ves_f7cad92274a5,wo_63cc9d2665d0,,survey,insurer,8.13,{},[],light,False,very_good,850.44,[],2015-08-02T12:00:00
insp_4d608fe7f2af,ves_f7cad92274a5,wo_b80233ea72bc,,post_failure,tech,21.12,{},[],moderate,False,very_good,854.96,[],2025-11-18T13:00:00
insp_27486005387f,ves_f7cad92274a5,wo_0c3245f32b57,,post_failure,surveyor,13.63,{},"[""metal_elevated"", ""coolant_trace""]",none,False,very_good,2229.02,[],2020-11-19T09:00:00
insp_fac352d7aca2,ves_f7cad92274a5,wo_0b5893a58c39,,post_failure,yard,13.92,{},"[""normal"", ""fuel_dilution""]",none,False,very_good,47404.95,"[""must_repair_before_use""]",2024-05-03T15:00:00
insp_f46ed3cbc1b8,ves_c8d2652b7774,wo_78edbd021074,,post_failure,insurer,0.0,{},"[""fuel_dilution""]",light,False,good,1841.26,[],2016-06-10T08:00:00
insp_50e73e5334d0,ves_c8d2652b7774,wo_7774c7311b7b,,salvage_intake,insurer,18.21,"{""cyl1"": 148, ""cyl2"": 190}","[""normal""]",light,False,good,39910.04,[],2014-04-21T09:00:00
insp_d0c48d1849f8,ves_bd5c4d35e342,wo_7ca1a0b6ce3f,,post_failure,yard,5.95,{},"[""metal_elevated""]",severe,False,excellent,1416.52,[],2017-12-08T16:00:00
insp_653948ca2ed7,ves_bd5c4d35e342,wo_a412dd94b40c,,post_failure,tech,6.53,{},"[""fuel_dilution""]",none,False,excellent,1182.27,[],2017-05-13T12:00:00
insp_cb187819ed0b,ves_bd5c4d35e342,wo_7e514e1859e2,,survey,surveyor,2.11,{},[],severe,False,excellent,656.19,[],2016-07-16T08:00:00
insp_1384e854a044,ves_e47f124d7ff8,wo_c1923ef06d06,,post_failure,tech,11.36,{},"[""metal_elevated""]",light,False,excellent,1271.3,[],2020-08-15T13:00:00
insp_10b132986a0c,ves_e47f124d7ff8,wo_e57d69a964ce,,salvage_intake,tech,13.37,{},"[""normal"", ""fuel_dilution""]",light,False,excellent,1225.89,[],2021-11-15T12:00:00
insp_86f211eb0675,ves_8aee8ef8cb22,wo_721e1aa7e455,,survey,tech,0.0,"{""cyl1"": 134, ""cyl2"": 156}","[""coolant_trace""]",none,False,fair,5055.85,[],2021-04-23T12:00:00
insp_088e4c3358ed,ves_8aee8ef8cb22,wo_68343c6d1325,,post_failure,surveyor,5.13,{},[],light,False,fair,240.91,[],2023-04-15T10:00:00
insp_9db19ee5c393,ves_d1daebb5648f,wo_56f4454003a4,,pre_purchase,tech,5.43,{},"[""coolant_trace""]",none,False,very_good,1160.52,[],2021-07-25T13:00:00
insp_d222243dc594,ves_d1daebb5648f,wo_91d9a9969c05,,salvage_intake,yard,14.53,{},"[""coolant_trace""]",none,False,very_good,3378.01,[],2023-06-06T12:00:00
insp_c7bfb8593b5b,ves_2d7da97ab609,wo_73de6f5c4093,,salvage_intake,yard,19.71,{},[],light,False,fair,9726.55,[],2026-08-06T16:00:00
insp_1d4ff4984ab0,ves_2d7da97ab609,wo_1bad1a430b22,,post_failure,tech,10.27,{},"[""metal_elevated""]",light,False,fair,1171.12,[],2014-03-11T13:00:00
insp_ec6c74f72278,ves_547b6c4e0b80,wo_df03125874bf,,survey,tech,14.88,{},[],none,False,good,279.54,[],2014-05-09T10:00:00
insp_45fc4137f72c,ves_547b6c4e0b80,wo_284dfd975d26,,pre_purchase,tech,0.0,{},"[""coolant_trace""]",light,False,good,298.39,[],2020-02-11T16:00:00
insp_5adb7aa02f65,ves_547b6c4e0b80,wo_12eeb63aa778,,post_failure,yard,3.38,{},[],none,False,good,3675.23,[],2018-03-10T11:00:00
insp_321265abebd0,ves_385bc725562f,wo_7022d0551d19,,survey,insurer,3.23,{},"[""normal"", ""coolant_trace""]",light,False,fair,450.29,[],2026-01-23T14:00:00
insp_f4cd6f665542,ves_385bc725562f,wo_885c44772995,,pre_purchase,tech,5.84,{},"[""coolant_trace""]",none,False,fair,3612.29,[],2016-05-16T08:00:00
insp_792b43c4fb80,ves_385bc725562f,wo_7892f8eb713d,,survey,tech,24.0,{},"[""normal"", ""coolant_trace""]",severe,False,fair,18877.66,[],2018-03-13T09:00:00
insp_f94cd3b21f0b,ves_385bc725562f,wo_582702b8880a,,post_failure,tech,6.06,{},"[""metal_elevated""]",none,False,fair,349.85,[],2024-10-09T16:00:00
insp_1f7670a2ce7d,ves_385bc725562f,wo_d6ff78af2d64,,salvage_intake,tech,5.74,{},"[""coolant_trace"", ""fuel_dilution""]",none,False,fair,375.06,[],2025-05-06T10:00:00
insp_81bd8adb7185,ves_385bc725562f,wo_3e61c5b6cf45,,salvage_intake,insurer,7.49,"{""cyl1"": 135, ""cyl2"": 128}","[""normal"", ""metal_elevated""]",moderate,False,fair,8310.6,[],2016-02-01T11:00:00
insp_8c0500655f46,ves_385bc725562f,wo_9006788ef35f,,post_failure,insurer,14.03,"{""cyl1"": 128, ""cyl2"": 112}",[],none,False,fair,59226.85,[],2023-02-08T09:00:00
