salvage_candidate_id,vessel_id,part_component_id,detected_after_event,event_type,preliminary_salvage_score,exclusion_reason,expected_used_price,expected_sell_prob,created_at,salvageable_label
sc_17f7ace8632e,ves_002a2a74cdc7,pinst_41d1847086f2,failure,rot,0.168,,190.92,0.361,2026-03-27T00:00:00,0
sc_60c186860483,ves_002a2a74cdc7,pinst_510ff548d8ff,failure,rot,0.01,poor_condition,3.84,0.354,2026-03-21T00:00:00,0
sc_d7dac34873e7,ves_002a2a74cdc7,pinst_379391f45945,failure,rot,0.636,,49.53,0.511,2026-02-11T00:00:00,1
sc_f0da7486a5b5,ves_002a2a74cdc7,pinst_08edf0e53e0b,failure,rot,0.35,,8.95,0.405,2026-02-20T00:00:00,0
sc_7a781d638fbe,ves_002a2a74cdc7,pinst_fc20f13efcad,failure,rot,0.01,poor_condition,40.99,0.1,2026-02-25T00:00:00,0
sc_3c518e4fef70,ves_002a2a74cdc7,pinst_6bdee218e774,failure,rot,0.329,,37.86,0.1,2026-03-04T00:00:00,0
sc_6566e80d5810,ves_002a2a74cdc7,pinst_1c96f746a8d6,failure,rot,0.627,,2316.03,0.368,2026-01-27T00:00:00,1
sc_bd0e12929170,ves_002a2a74cdc7,pinst_37d62ae7f4a5,failure,rot,0.339,,4.42,0.411,2026-02-02T00:00:00,0
sc_0b08e180707e,ves_002a2a74cdc7,pinst_369d8100bcab,failure,rot,0.427,,222.08,0.2,2026-01-12T00:00:00,0
sc_588bed7d8589,ves_002a2a74cdc7,pinst_4a7ff4cdf7c6,failure,rot,0.629,,23.2,0.536,2026-01-19T00:00:00,1
sc_216cd64b0503,ves_002a2a74cdc7,pinst_bf6576e9e3fe,failure,rot,0.273,,9.54,0.402,2026-03-07T00:00:00,0
sc_22c432559a0e,ves_002a2a74cdc7,pinst_889d6c980827,failure,rot,0.533,,110.02,0.461,2026-01-17T00:00:00,1
sc_86935ce23d9b,ves_002a2a74cdc7,pinst_4208ecea9d7e,failure,rot,0.198,,3.14,0.1,2026-01-22T00:00:00,0
sc_11442df2aac0,ves_002a2a74cdc7,pinst_f0daa101ec1f,failure,rot,0.566,,13.78,0.489,2026-01-21T00:00:00,1
sc_f1366d3631f5,ves_002b5a30c44e,pinst_f0b391696a72,decommission,collision,0.342,,32.61,0.611,2026-03-11T00:00:00,0
sc_719248444521,ves_002b5a30c44e,pinst_5ccf2f351441,decommission,collision,0.234,,36.85,0.616,2026-01-01T00:00:00,0
sc_7baceb035380,ves_002b5a30c44e,pinst_e021ca40540c,decommission,collision,0.364,,32.94,0.386,2026-02-06T00:00:00,0
sc_93196ff14f04,ves_002b5a30c44e,pinst_83c0db124b6e,decommission,collision,0.532,,68.04,0.514,2026-03-10T00:00:00,1
sc_98c280f2afbe,ves_002b5a30c44e,pinst_7a6de719d884,decommission,collision,0.486,,32.28,0.454,2026-02-17T00:00:00,1
sc_b376c4016685,ves_002b5a30c44e,pinst_56c0de6571c1,decommission,collision,0.475,,12.02,0.45,2026-02-14T00:00:00,1
sc_873263b9a304,ves_002b5a30c44e,pinst_5410310c860b,decommission,collision,0.617,,255.22,0.47,2026-01-23T00:00:00,1
sc_7b8af71a7b0a,ves_002b5a30c44e,pinst_fbcaa794a197,decommission,collision,0.553,,59.07,0.2,2026-02-19T00:00:00,1
sc_9574947ce2c5,ves_002b5a30c44e,pinst_db418a7582a2,decommission,collision,0.634,,75.42,0.35,2026-02-25T00:00:00,1
sc_43ee8eadd0f8,ves_002b5a30c44e,pinst_be57a4e85b72,decommission,collision,0.053,failure_localization_penalty,225.56,0.461,2026-02-02T00:00:00,0
sc_f896ea4b1a91,ves_002b5a30c44e,pinst_ad8521a1a476,decommission,collision,0.52,,22.29,0.466,2026-02-06T00:00:00,1
sc_6390f16400a7,ves_002b5a30c44e,pinst_c55a10d15c43,decommission,collision,0.613,,29.37,0.469,2026-01-17T00:00:00,1
sc_055dd15897e1,ves_002b5a30c44e,pinst_1b5a07e4f88f,decommission,collision,0.586,,47.7,0.462,2026-02-16T00:00:00,1
sc_f8917aa12ea3,ves_002b5a30c44e,pinst_ef9914a6e421,decommission,collision,0.575,,53.29,0.472,2026-03-02T00:00:00,1
sc_9cd04ddaed0c,ves_002b5a30c44e,pinst_a3b82d81749f,decommission,collision,0.593,,109.19,0.2,2026-02-13T00:00:00,1
sc_fb5f03039029,ves_002b5a30c44e,pinst_323768702f8f,decommission,collision,0.558,,161.19,0.549,2026-03-25T00:00:00,1
sc_27c8f6284b04,ves_002b5a30c44e,pinst_efa0bb29fee1,decommission,collision,0.519,,2154.98,0.499,2026-03-10T00:00:00,1
sc_95bd193ed260,ves_002b5a30c44e,pinst_2d9b3053b9e8,decommission,collision,0.716,,19.03,0.661,2026-03-12T00:00:00,1
sc_4cfdd05932f3,ves_002b5a30c44e,pinst_61cfcd7eff69,decommission,collision,0.5,,19.34,0.536,2026-03-07T00:00:00,1
sc_3d40a47d090b,ves_002b5a30c44e,pinst_291e23036c74,decommission,collision,0.724,,36.72,0.502,2026-02-07T00:00:00,1
sc_2b09360aa7d3,ves_002b5a30c44e,pinst_e97f24014987,decommission,collision,0.714,,78.71,0.475,2026-03-25T00:00:00,1
sc_7bb746c3c47a,ves_002b5a30c44e,pinst_6f3281e21510,decommission,collision,0.68,,27.61,0.518,2026-02-12T00:00:00,1
sc_2acaa7be95de,ves_002b5a30c44e,pinst_cf95ca434931,decommission,collision,0.22,,87.91,0.35,2026-02-17T00:00:00,0
sc_0c9bb8894f32,ves_002b5a30c44e,pinst_fe29a8f19d60,decommission,collision,0.377,,13.6,0.35,2026-01-05T00:00:00,0
sc_6b21975b4e1c,ves_002b5a30c44e,pinst_ef4fa7478c5d,decommission,collision,0.548,,13.44,0.489,2026-01-15T00:00:00,1
sc_39a5230ceef9,ves_00c67ce40e4f,pinst_4fa9cc3b0b43,decommission,collision,0.502,,43.28,0.611,2026-02-20T00:00:00,1
sc_5c782d675c76,ves_00c67ce40e4f,pinst_a25dcd1b89ec,decommission,collision,0.369,,38.09,0.466,2026-01-09T00:00:00,0
sc_6c44d835c2b8,ves_00c67ce40e4f,pinst_f4535b6f3183,decommission,collision,0.702,,101.45,0.486,2026-01-06T00:00:00,1
sc_835529c5e872,ves_00c67ce40e4f,pinst_a7abe438caf0,decommission,collision,0.517,,66.52,0.514,2026-03-04T00:00:00,1
sc_85083a4e94e3,ves_00c67ce40e4f,pinst_33ce153e0ac1,decommission,collision,0.607,,38.43,0.454,2026-03-27T00:00:00,1
sc_6e0351d95db1,ves_00c67ce40e4f,pinst_b1cb5bec47ed,decommission,collision,0.656,,15.53,0.45,2026-02-26T00:00:00,1
sc_92605a480269,ves_00c67ce40e4f,pinst_98b729f8a04c,decommission,collision,0.667,,271.71,0.47,2026-02-15T00:00:00,1
sc_1787646f79c9,ves_00c67ce40e4f,pinst_117b3e5fe04e,decommission,collision,0.626,,65.22,0.2,2026-01-26T00:00:00,1
sc_018d9758e866,ves_00c67ce40e4f,pinst_f00d6a53b7c3,decommission,collision,0.432,,42.76,0.2,2026-01-07T00:00:00,0
sc_219ab4ea9475,ves_00c67ce40e4f,pinst_ec5254ea5570,decommission,collision,0.669,,917.46,0.461,2026-03-13T00:00:00,1
sc_125341716b8f,ves_00c67ce40e4f,pinst_607e1e07bfcb,decommission,collision,0.563,,23.71,0.466,2026-01-13T00:00:00,1
sc_a881066589d1,ves_00c67ce40e4f,pinst_1743e5dedb4c,decommission,collision,0.773,,46.51,0.619,2026-03-19T00:00:00,1
sc_1844f67c1ab6,ves_00c67ce40e4f,pinst_314565574590,decommission,collision,0.727,,74.31,0.612,2026-01-21T00:00:00,1
sc_26d40688af03,ves_00c67ce40e4f,pinst_2be3408370b5,decommission,collision,0.591,,54.49,0.472,2026-02-24T00:00:00,1
sc_481956520d45,ves_00c67ce40e4f,pinst_52b7f9065f2a,decommission,collision,0.569,,105.77,0.2,2026-01-26T00:00:00,1
sc_9a28b6ee1984,ves_00c67ce40e4f,pinst_c486e93e7ffc,decommission,collision,0.051,failure_localization_penalty,45.42,0.549,2026-03-06T00:00:00,0
sc_93d73d1f8f5f,ves_00c67ce40e4f,pinst_d0628962c329,decommission,collision,0.191,,1878.34,0.468,2026-03-18T00:00:00,0
sc_35eeffa68b50,ves_00c67ce40e4f,pinst_893ae1277f99,decommission,collision,0.304,,7.63,0.511,2026-01-13T00:00:00,0
sc_92e40f37f7f3,ves_00c67ce40e4f,pinst_fd4ad06bd9ba,decommission,collision,0.58,,21.73,0.536,2026-02-23T00:00:00,1
sc_574892bb940b,ves_00c67ce40e4f,pinst_4ab407e6b1be,decommission,collision,0.511,,27.76,0.502,2026-02-06T00:00:00,1
sc_c39e4926617e,ves_00c67ce40e4f,pinst_33e2c57653d5,decommission,collision,0.579,,66.32,0.475,2026-01-01T00:00:00,1
sc_a407fb200cb9,ves_00c67ce40e4f,pinst_ab36db82c918,decommission,collision,0.24,,12.95,0.518,2026-01-26T00:00:00,0
sc_947c16f1e265,ves_00c67ce40e4f,pinst_fa21422562ec,decommission,collision,0.17,,19.85,0.1,2026-03-23T00:00:00,0
sc_82c392e9e7b4,ves_00eaba2d8df7,pinst_de46cded2c0a,decommission,fire,0.163,,20.73,0.611,2026-02-13T00:00:00,0
sc_37af52ddff9b,ves_00eaba2d8df7,pinst_620298e73641,decommission,fire,0.01,failure_localization_penalty,11.66,0.466,2026-01-23T00:00:00,0
sc_6b5f1bed9fa1,ves_00eaba2d8df7,pinst_ae18b48a126c,decommission,fire,0.01,poor_condition,10.16,0.386,2026-03-24T00:00:00,0
sc_32794b1c3ca4,ves_00eaba2d8df7,pinst_836fd142b661,decommission,fire,0.09,poor_condition,23.87,0.514,2026-03-25T00:00:00,0
sc_f071c6aedd11,ves_00eaba2d8df7,pinst_18098fc00197,decommission,fire,0.164,,20.75,0.604,2026-01-16T00:00:00,0
sc_7ec5d48e2520,ves_00eaba2d8df7,pinst_b688a3c6621f,decommission,fire,0.01,poor_condition,3.05,0.45,2026-01-10T00:00:00,0
sc_e582792778eb,ves_00eaba2d8df7,pinst_38458ec467ed,decommission,fire,0.192,,113.55,0.47,2026-01-10T00:00:00,0
sc_2d8808c29625,ves_00eaba2d8df7,pinst_b7d9d35040a3,decommission,fire,0.684,,70.08,0.466,2026-02-10T00:00:00,1
sc_68dfa20ef6ea,ves_00eaba2d8df7,pinst_7234b1ae994a,decommission,fire,0.119,failure_localization_penalty,299.95,0.461,2026-01-24T00:00:00,0
sc_b7865ca82feb,ves_00eaba2d8df7,pinst_10bd45c803a5,decommission,fire,0.751,,56.81,0.511,2026-03-25T00:00:00,1
sc_724ed612ddf5,ves_00eaba2d8df7,pinst_0128dcb11986,decommission,fire,0.665,,27.11,0.505,2026-01-13T00:00:00,1
sc_3485c0ac81e2,ves_00eaba2d8df7,pinst_5d379015659a,decommission,fire,0.291,,398.84,0.1,2026-03-05T00:00:00,0
sc_bef7a5735bc5,ves_00eaba2d8df7,pinst_24e78d65ebd3,decommission,fire,0.442,,87.0,0.2,2026-01-02T00:00:00,0
sc_f38ec0d4d94c,ves_00eaba2d8df7,pinst_f217b485f4aa,decommission,fire,0.37,,901.56,0.399,2026-03-01T00:00:00,0
sc_0f0cd149054c,ves_00eaba2d8df7,pinst_337b082ec241,decommission,fire,0.203,,3.18,0.411,2026-01-11T00:00:00,0
sc_2050842f0a90,ves_00eaba2d8df7,pinst_460c8782f87d,decommission,fire,0.524,,20.06,0.536,2026-01-11T00:00:00,1
sc_126099b95488,ves_00eaba2d8df7,pinst_15037a8ad56e,decommission,fire,0.597,,31.4,0.502,2026-01-17T00:00:00,1
sc_f051aa6e2d03,ves_00eaba2d8df7,pinst_7e3760787629,decommission,fire,0.623,,70.4,0.475,2026-01-11T00:00:00,1
sc_8429619e0cd1,ves_00eaba2d8df7,pinst_5b9f600e13fc,decommission,fire,0.8,,41.36,0.668,2026-01-14T00:00:00,1
sc_f7734e8c582c,ves_00eaba2d8df7,pinst_549bc04a8824,decommission,fire,0.01,poor_condition,18.32,0.2,2026-03-18T00:00:00,0
sc_d118c343602f,ves_01ea6b5d24c7,pinst_352c27ef1621,decommission,engine_failure,0.247,,26.27,0.611,2026-01-14T00:00:00,0
sc_d241feb7f44d,ves_01ea6b5d24c7,pinst_d226b71b1725,decommission,engine_failure,0.01,failure_localization_penalty,11.66,0.466,2026-01-21T00:00:00,0
sc_32111b7cdcac,ves_01ea6b5d24c7,pinst_81f903c42a7e,decommission,engine_failure,0.272,,27.01,0.386,2026-03-14T00:00:00,0
sc_0dfe64411345,ves_01ea6b5d24c7,pinst_e4d712085066,decommission,engine_failure,0.312,,24.8,0.414,2026-01-19T00:00:00,0
sc_9ec10dd6c610,ves_01ea6b5d24c7,pinst_0d2527e34cab,decommission,engine_failure,0.542,,35.14,0.454,2026-03-07T00:00:00,1
sc_919a6645493a,ves_01ea6b5d24c7,pinst_e04ae91e7ffa,decommission,engine_failure,0.317,,4.83,0.35,2026-03-10T00:00:00,0
sc_81cd8c9dbb32,ves_01ea6b5d24c7,pinst_968b7e46dcf9,decommission,engine_failure,0.615,,137.09,0.37,2026-01-10T00:00:00,1
sc_33ea6341c397,ves_01ea6b5d24c7,pinst_dd4d586d38e2,decommission,engine_failure,0.348,,22.52,0.1,2026-01-01T00:00:00,0
sc_65486db048b2,ves_01ea6b5d24c7,pinst_39e98a781c89,decommission,engine_failure,0.648,,37.73,0.481,2026-02-17T00:00:00,1
sc_af341df01426,ves_01ea6b5d24c7,pinst_d7a9a660ba2c,decommission,engine_failure,0.548,,35.44,0.492,2026-02-04T00:00:00,1
sc_17a476175361,ves_01ea6b5d24c7,pinst_231679f900fa,decommission,engine_failure,0.33,,12.2,0.392,2026-01-20T00:00:00,0
sc_1e3ff933941d,ves_01ea6b5d24c7,pinst_7c746caf866d,decommission,engine_failure,0.489,,64.85,0.2,2026-01-07T00:00:00,1
sc_11f1aa334f18,ves_01ea6b5d24c7,pinst_3d2452e8560e,decommission,engine_failure,0.357,,48.67,0.1,2026-02-16T00:00:00,0
sc_1cc5ec6ee936,ves_01ea6b5d24c7,pinst_9f0e85997b35,decommission,engine_failure,0.639,,171.27,0.463,2026-01-27T00:00:00,1
sc_a402af8b4894,ves_01ea6b5d24c7,pinst_054ff62d1bea,decommission,engine_failure,0.01,failure_localization_penalty,83.69,0.358,2026-02-09T00:00:00,0
sc_2b510dfdc257,ves_01ea6b5d24c7,pinst_b22f7e10e230,decommission,engine_failure,0.01,failure_localization_penalty,27.33,0.361,2026-03-22T00:00:00,0
sc_bd3c4694032f,ves_01ea6b5d24c7,pinst_5273ff7697bf,decommission,engine_failure,0.01,failure_localization_penalty,13.45,0.354,2026-03-21T00:00:00,0
sc_55c0ad48fb55,ves_01ea6b5d24c7,pinst_7a828b529f14,decommission,engine_failure,0.513,,16.86,0.411,2026-03-07T00:00:00,1
sc_313834ac0f37,ves_01ea6b5d24c7,pinst_a942a6b37ffd,decommission,engine_failure,0.184,,26.39,0.1,2026-02-14T00:00:00,0
sc_d851d5ecffa1,ves_01ea6b5d24c7,pinst_5112c07fc350,decommission,engine_failure,0.123,,24.16,0.399,2026-03-13T00:00:00,0
sc_3a8d980ce694,ves_01ea6b5d24c7,pinst_21efaad4e465,decommission,engine_failure,0.222,,45.52,0.449,2026-02-27T00:00:00,0
sc_f27f0d52489b,ves_01ea6b5d24c7,pinst_3b10ad02e159,decommission,engine_failure,0.112,poor_condition,129.04,0.399,2026-02-16T00:00:00,0
sc_b509be85c607,ves_01ea6b5d24c7,pinst_e017c476f44f,decommission,engine_failure,0.597,,12.55,0.511,2026-02-10T00:00:00,1
sc_3d93290d77f8,ves_01ea6b5d24c7,pinst_286bd4de7737,decommission,engine_failure,0.107,poor_condition,52.96,0.1,2026-02-22T00:00:00,0
sc_5dfa68327b2b,ves_01ea6b5d24c7,pinst_cdbec98aed9e,decommission,engine_failure,0.443,,17.64,0.536,2026-02-25T00:00:00,0
sc_c3c599edfe9c,ves_01ea6b5d24c7,pinst_f37272d1f6e4,decommission,engine_failure,0.408,,12.61,0.402,2026-02-14T00:00:00,0
sc_ad2c6205f8c0,ves_01ea6b5d24c7,pinst_4f115ed95761,decommission,engine_failure,0.468,,99.47,0.461,2026-02-27T00:00:00,1
sc_7950fe40e2cf,ves_01ea6b5d24c7,pinst_86a7914e770d,decommission,engine_failure,0.035,failure_localization_penalty,33.45,0.2,2026-03-04T00:00:00,0
sc_02a6369af368,ves_01ea6b5d24c7,pinst_8a7e0e8029b0,decommission,engine_failure,0.269,,9.2,0.35,2026-01-07T00:00:00,0
sc_80e19bbe743b,ves_038837fc0e9c,pinst_22d1abba81ec,decommission,rot,0.583,,48.66,0.611,2026-03-25T00:00:00,1
sc_2065616562e0,ves_038837fc0e9c,pinst_3a33e9f8a57a,decommission,rot,0.33,,35.27,0.466,2026-03-23T00:00:00,0
sc_0ecc48a0c346,ves_038837fc0e9c,pinst_4981a1b7fec2,decommission,rot,0.317,,29.88,0.386,2026-01-07T00:00:00,0
sc_618821ff4f66,ves_038837fc0e9c,pinst_5bdf5b08e976,decommission,rot,0.235,,20.66,0.414,2026-03-22T00:00:00,0
sc_9d37e39a96f2,ves_038837fc0e9c,pinst_e598cab92d18,decommission,rot,0.628,,39.48,0.454,2026-03-19T00:00:00,1
sc_d4176725a686,ves_038837fc0e9c,pinst_b826437e056a,decommission,rot,0.602,,14.48,0.45,2026-02-01T00:00:00,1
sc_16a3e78789e3,ves_038837fc0e9c,pinst_93d0ad675e83,decommission,rot,0.01,failure_localization_penalty,4.78,0.402,2026-01-18T00:00:00,0
sc_13893a7199df,ves_038837fc0e9c,pinst_dc3e89e9f03d,decommission,rot,0.01,failure_localization_penalty,14.65,0.1,2026-01-23T00:00:00,0
sc_251ba5943de4,ves_038837fc0e9c,pinst_402835ccf552,decommission,rot,0.01,poor_condition,95.65,0.361,2026-01-04T00:00:00,0
sc_e214490dc1dc,ves_038837fc0e9c,pinst_43f48936639c,decommission,rot,0.457,,1051.95,0.399,2026-01-28T00:00:00,1
sc_11b81a051ce6,ves_038837fc0e9c,pinst_11c151fdf2ef,decommission,rot,0.301,,4.08,0.411,2026-02-04T00:00:00,0
sc_93923aff940e,ves_038837fc0e9c,pinst_c702ba640def,decommission,rot,0.603,,22.4,0.536,2026-01-16T00:00:00,1
sc_272d77f4a195,ves_038837fc0e9c,pinst_4d3887e4efc6,decommission,rot,0.289,,9.91,0.402,2026-01-09T00:00:00,0
sc_d5090bb5907d,ves_038837fc0e9c,pinst_5aa473c08375,decommission,rot,0.476,,56.95,0.475,2026-03-09T00:00:00,1
sc_3cf0b20ec83b,ves_038837fc0e9c,pinst_ef120aa8205d,decommission,rot,0.591,,24.65,0.518,2026-03-09T00:00:00,1
sc_143e668dc593,ves_038837fc0e9c,pinst_370716cdf7d5,decommission,rot,0.451,,109.38,0.2,2026-01-01T00:00:00,1
sc_bfbacbedbe0f,ves_03c49471b8a3,pinst_e71676c55739,failure,engine_failure,0.262,,27.3,0.611,2026-03-01T00:00:00,0
sc_1e631bbe2c2a,ves_03c49471b8a3,pinst_190baf55b73d,failure,engine_failure,0.316,,44.72,0.616,2026-03-05T00:00:00,0
sc_a6668099a4ee,ves_03c49471b8a3,pinst_170701716c51,failure,engine_failure,0.616,,91.2,0.486,2026-02-27T00:00:00,1
sc_c63954e6dd73,ves_03c49471b8a3,pinst_87896f8c168a,failure,engine_failure,0.705,,111.55,0.664,2026-03-02T00:00:00,1
sc_a7cd83167b3e,ves_03c49471b8a3,pinst_b64d1dd58711,failure,engine_failure,0.553,,35.71,0.454,2026-02-17T00:00:00,1
sc_e2ca3e6043de,ves_03c49471b8a3,pinst_23cc94c01d11,failure,engine_failure,0.925,,27.09,0.6,2026-01-24T00:00:00,1
sc_8fac3349173c,ves_03c49471b8a3,pinst_9da228255056,failure,engine_failure,0.847,,433.88,0.62,2026-02-21T00:00:00,1
sc_0c7f2b4cd1aa,ves_03c49471b8a3,pinst_6864dc5def8e,failure,engine_failure,0.76,,100.05,0.35,2026-01-26T00:00:00,1
sc_00b351867a48,ves_03c49471b8a3,pinst_7f80100dd4df,failure,engine_failure,0.99,,99.26,0.62,2026-02-15T00:00:00,1
sc_30a3fccf4b6c,ves_03c49471b8a3,pinst_a2fe834279be,failure,engine_failure,0.095,failure_localization_penalty,273.15,0.461,2026-03-28T00:00:00,0
sc_184deb8ccea6,ves_03c49471b8a3,pinst_77a752681865,failure,engine_failure,0.759,,56.23,0.661,2026-01-01T00:00:00,1
sc_d638c745766f,ves_03c49471b8a3,pinst_6f373fb08072,failure,engine_failure,0.604,,145.0,0.35,2026-01-16T00:00:00,1
sc_d9b7231ca67c,ves_03c49471b8a3,pinst_9da21c53ed4a,failure,engine_failure,0.491,,369.9,0.499,2026-01-05T00:00:00,1
sc_6ea4b42f8fae,ves_03c49471b8a3,pinst_e85604d19675,failure,engine_failure,0.791,,280.08,0.699,2026-02-01T00:00:00,1
sc_b0ab420dda86,ves_03c49471b8a3,pinst_dea3598f7540,failure,engine_failure,0.387,,930.73,0.399,2026-03-02T00:00:00,0
sc_1566706def4d,ves_03c49471b8a3,pinst_a7e1663c9a86,failure,engine_failure,0.911,,23.35,0.661,2026-03-10T00:00:00,1
sc_f97c255a63ed,ves_03c49471b8a3,pinst_9154dce4e182,failure,engine_failure,0.436,,225.64,0.2,2026-01-19T00:00:00,0
sc_1e6b955c7608,ves_03c49471b8a3,pinst_55e6f7c53862,failure,engine_failure,0.835,,38.37,0.686,2026-01-17T00:00:00,1
sc_cf44c431ed28,ves_03c49471b8a3,pinst_969c2a7d2256,failure,engine_failure,0.755,,49.75,0.652,2026-02-19T00:00:00,1
sc_d115bc36101c,ves_03c49471b8a3,pinst_3751e8218d5e,failure,engine_failure,0.816,,203.49,0.611,2026-01-21T00:00:00,1
sc_1042062405e4,ves_03c49471b8a3,pinst_a5cd8277400d,failure,engine_failure,0.4,,153.96,0.35,2026-03-25T00:00:00,0
sc_756d4606e32e,ves_03c49471b8a3,pinst_66ec96bab077,failure,engine_failure,0.186,,7.37,0.35,2026-03-01T00:00:00,0
sc_0ea933c1b119,ves_042bccb6b989,pinst_1b5452c7d578,decommission,submersion,0.46,,30.95,0.461,2026-03-23T00:00:00,1
sc_6e1296a04c7c,ves_042bccb6b989,pinst_2e154f4e04ed,decommission,submersion,0.358,,37.28,0.466,2026-02-10T00:00:00,0
sc_bbda3638e336,ves_042bccb6b989,pinst_97822c504397,decommission,submersion,0.232,,24.4,0.386,2026-02-22T00:00:00,0
sc_3eaced4f2f0c,ves_042bccb6b989,pinst_c25f21fc6c3f,decommission,submersion,0.27,,22.54,0.414,2026-03-13T00:00:00,0
sc_eaef9372b28d,ves_042bccb6b989,pinst_26f590b25f9c,decommission,submersion,0.318,,12.78,0.354,2026-03-08T00:00:00,0
sc_89b23179680d,ves_042bccb6b989,pinst_8956450dd3cb,decommission,submersion,0.467,,11.88,0.45,2026-03-21T00:00:00,1
sc_7a3bcbc565ef,ves_042bccb6b989,pinst_94437acc5fef,decommission,submersion,0.753,,300.48,0.47,2026-03-16T00:00:00,1
sc_e93177ff8056,ves_042bccb6b989,pinst_820b0d3dae84,decommission,submersion,0.287,,19.76,0.1,2026-02-27T00:00:00,0
sc_7f758bcd19bc,ves_042bccb6b989,pinst_9ee7889e87a6,decommission,submersion,0.443,,43.54,0.2,2026-02-27T00:00:00,0
sc_ff54706915a5,ves_042bccb6b989,pinst_2874cdc1ee80,decommission,submersion,0.296,,268.48,0.361,2026-01-28T00:00:00,0
sc_aeb211de7887,ves_042bccb6b989,pinst_c7233f04c0b5,decommission,submersion,0.01,failure_localization_penalty,5.38,0.411,2026-02-26T00:00:00,0
sc_66ab29d0a48e,ves_042bccb6b989,pinst_269d05c2afc4,decommission,submersion,0.147,,1.52,0.405,2026-03-02T00:00:00,0
sc_0beec03f6f01,ves_042bccb6b989,pinst_5f15e940d502,decommission,submersion,0.029,poor_condition,46.0,0.1,2026-02-06T00:00:00,0
sc_05fb86b3a150,ves_042bccb6b989,pinst_f40a0ba1f640,decommission,submersion,0.171,,25.32,0.1,2026-01-18T00:00:00,0
sc_7cc8c04b7146,ves_042bccb6b989,pinst_bb7cddf12e5f,decommission,submersion,0.01,failure_localization_penalty,274.99,0.399,2026-02-08T00:00:00,0
sc_e77bb200633b,ves_042bccb6b989,pinst_b009da8a9781,decommission,submersion,0.034,failure_localization_penalty,1.65,0.411,2026-03-24T00:00:00,0
sc_d86748ac55c4,ves_042bccb6b989,pinst_fee768c1eab7,decommission,submersion,0.262,,6.59,0.436,2026-01-02T00:00:00,0
sc_ec230b4285d8,ves_042bccb6b989,pinst_1c9a6a240caa,decommission,submersion,0.391,,12.24,0.402,2026-01-28T00:00:00,0
sc_0b60d7768d94,ves_042bccb6b989,pinst_f74bba8b34c6,decommission,submersion,0.373,,25.61,0.375,2026-01-23T00:00:00,0
sc_9c6395605fd9,ves_042bccb6b989,pinst_17021b35d23a,decommission,submersion,0.024,failure_localization_penalty,3.09,0.418,2026-02-24T00:00:00,0
sc_f3303de6b52b,ves_042bccb6b989,pinst_1764efff3495,decommission,submersion,0.357,,92.17,0.2,2026-03-19T00:00:00,0
sc_e9a49d876d0b,ves_042bccb6b989,pinst_1fb61e841870,decommission,submersion,0.41,,9.4,0.2,2026-03-20T00:00:00,0
sc_71d1416e83ed,ves_042bccb6b989,pinst_0484090edc0a,decommission,submersion,0.361,,58.95,0.2,2026-01-28T00:00:00,0
sc_73ed5d13e319,ves_043e7e77123e,pinst_7d759fdaa9ed,decommission,collision,0.373,,40.77,0.611,2026-01-07T00:00:00,0
sc_0b043608bac5,ves_043e7e77123e,pinst_166b67e9ce01,decommission,collision,0.28,,41.32,0.616,2026-01-25T00:00:00,0
