work_order_id,vessel_id,opened_at,closed_at,odometer_engine_hours,primary_subsystem,symptom_codes,diagnosis_codes,repair_codes,severity,labour_hours,labour_rate,parts_cost,total_cost,warranty_claim,downtime_days,outcome_status,root_cause_flag,created_at,repair_decision_label,post_repair_estimated_value
wo_cce9e6a9ad7d,ves_e85c97dcf495,2024-07-10T12:00:00,2024-07-13T12:00:00,434,FUEL,"[""fuel smell in bilge""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,4.97,154.36,113.89,881.34,False,3,fixed,True,2024-07-10T12:00:00,repair,45779.42
wo_66fab2e05b21,ves_e85c97dcf495,2016-02-15T14:00:00,2016-02-18T14:00:00,273,PROPULSION,"[""vibration underway""]","[""JET_WEAR_RING_CLEARANCE""]","[""REPLACE_WEAR_RING""]",3,3.44,155.38,152.69,687.2,False,3,fixed,True,2016-02-15T14:00:00,repair,45779.42
wo_a5373c9f9c8e,ves_e85c97dcf495,2026-01-06T12:00:00,2026-01-09T12:00:00,151,ELECTRICAL,"[""corroded battery terminal""]","[""ELEC_CHAFE_SHORT""]","[""REWIRE_SECTION""]",5,8.17,143.26,1014.51,2184.41,False,3,fixed,True,2026-01-06T12:00:00,repair,40173.77
wo_0e8c4433033f,ves_bbe230212bed,2025-12-01T16:00:00,2025-12-01T16:00:00,3384,ENGINE,"[""hard start cold""]","[""ENG_SENSOR_FAIL""]","[""REPLACE_SENSOR""]",3,1.89,153.15,92.25,381.29,True,0,fixed,True,2025-12-01T16:00:00,repair,4834.55
wo_1f8eedd89962,ves_bbe230212bed,2023-08-17T08:00:00,2023-08-30T08:00:00,3591,ENGINE,"[""hard start cold""]","[""ENG_OVERHEAT_IMPELLER""]","[""REPLACE_IMPELLER"", ""REPLACE_THERMOSTAT""]",4,8.95,151.05,238.87,1730.45,False,13,fixed,True,2023-08-17T08:00:00,repair,4587.89
wo_78b8413639e0,ves_bbe230212bed,2014-07-05T15:00:00,2014-07-12T15:00:00,2424,PROPULSION,"[""bellows leak observed""]","[""JET_WEAR_RING_CLEARANCE""]","[""REPLACE_WEAR_RING""]",3,2.37,155.75,162.3,530.77,False,7,fixed,True,2014-07-05T15:00:00,repair,4834.55
wo_a23829d47efd,ves_bbe230212bed,2018-09-06T11:00:00,2018-09-14T11:00:00,1065,NAV,"[""VHF transmit weak""]","[""N2K_NETWORK_FAULT""]","[""REPAIR_N2K_BACKBONE""]",3,2.51,139.68,139.4,489.62,False,8,fixed,True,2018-09-06T11:00:00,repair,4834.55
wo_4b62f84ea9de,ves_bbe230212bed,2019-02-13T08:00:00,2019-03-01T08:00:00,486,HULL,"[""blistering below waterline""]","[""HULL_DECK_CORE_ROT""]","[""REPAIR_DECK_CORE""]",3,29.6,125.73,126.27,4281.85,False,16,partial,True,2019-02-13T08:00:00,borderline,4834.55
wo_de258528ac79,ves_adebceae0fad,2022-04-04T12:00:00,2022-04-13T12:00:00,540,PROPULSION,"[""vibration underway""]","[""PROP_BENT_SHAFT""]","[""REPAIR_SHAFT_ALIGN""]",3,18.78,131.32,1680.4,4147.22,False,9,deferred,True,2022-04-04T12:00:00,repair,1412.64
wo_06c238e11d43,ves_adebceae0fad,2015-07-10T11:00:00,2015-07-14T11:00:00,539,ELECTRICAL,"[""shore power breaker trips""]","[""ELEC_CORROSION_TERMINAL""]","[""CLEAN_RETERM_CONNECTORS""]",3,1.14,128.53,0.0,146.33,False,4,deferred,True,2015-07-10T11:00:00,repair,1412.64
wo_c7036a494d86,ves_adebceae0fad,2020-08-06T16:00:00,2020-08-06T16:00:00,514,NAV,"[""depth sounder no reading""]","[""N2K_NETWORK_FAULT""]","[""REPAIR_N2K_BACKBONE""]",3,2.44,126.44,138.43,446.72,False,0,fixed,True,2020-08-06T16:00:00,repair,1412.64
wo_2983c3db5341,ves_adebceae0fad,2022-01-04T15:00:00,2022-01-08T15:00:00,529,ENGINE,"[""hard start cold""]","[""EXH_RISER_LEAK_BACKFLOW""]","[""REPLACE_EXHAUST_RISERS""]",3,6.42,148.75,1331.65,2287.21,False,4,total_loss,True,2022-01-04T15:00:00,decommission,1412.64
wo_045c972ccafc,ves_adebceae0fad,2018-06-21T10:00:00,2018-07-02T10:00:00,284,NAV,"[""VHF transmit weak""]","[""N2K_NETWORK_FAULT""]","[""REPAIR_N2K_BACKBONE""]",3,1.07,173.83,125.04,310.49,False,11,deferred,True,2018-06-21T10:00:00,repair,1412.64
wo_5e1e98c67468,ves_adebceae0fad,2017-07-15T16:00:00,2017-07-29T16:00:00,628,AUX,"[""freshwater pump cycles""]","[""SAN_CLOG""]","[""CLEAR_SANITATION_CLOG""]",3,2.55,220.44,0.0,561.96,False,14,fixed,True,2017-07-15T16:00:00,repair,1412.64
wo_b64b0c829857,ves_adebceae0fad,2021-06-02T13:00:00,2021-06-11T13:00:00,107,AUX,"[""head odor persistent""]","[""HVAC_RAW_WATER_FLOW""]","[""CLEAN_AC_STRAINER""]",3,1.83,178.43,395.88,722.8,False,9,fixed,True,2021-06-02T13:00:00,repair,1412.64
wo_d81617f8ee8e,ves_6647655670db,2018-06-02T12:00:00,2018-06-13T12:00:00,151,PROPULSION,"[""drive oil milky""]","[""PROP_CUTLASS_WEAR""]","[""REPLACE_CUTLASS_BRG""]",3,4.14,158.37,136.57,792.48,False,11,fixed,True,2018-06-02T12:00:00,repair,4669.68
wo_85e98443d992,ves_6647655670db,2018-07-04T09:00:00,2018-07-21T09:00:00,137,ELECTRICAL,"[""bilge alarm false trigger""]","[""ELEC_CHAFE_SHORT""]","[""REWIRE_SECTION""]",5,27.51,181.35,938.61,5928.39,False,17,partial,True,2018-07-04T09:00:00,repair,4097.88
wo_e60031378f52,ves_216327f6caf4,2020-04-06T08:00:00,2020-04-26T08:00:00,2603,ELECTRICAL,"[""bilge alarm false trigger""]","[""ELEC_STRAY_CURRENT""]","[""ELECTRICAL_FAULT_FIND""]",3,12.92,208.91,0.0,2698.54,False,20,fixed,True,2020-04-06T08:00:00,repair,21679.95
wo_813c25f7376e,ves_216327f6caf4,2020-01-02T12:00:00,2020-01-10T12:00:00,3721,ELECTRICAL,"[""shore power breaker trips""]","[""ELEC_ALT_FAIL""]","[""REPLACE_ALTERNATOR""]",3,2.8,220.97,280.12,899.44,False,8,fixed,True,2020-01-02T12:00:00,repair,21679.95
wo_d49532016bbe,ves_216327f6caf4,2014-09-10T16:00:00,2014-09-19T16:00:00,1668,ENGINE,"[""hard start cold""]","[""EXH_RISER_LEAK_BACKFLOW""]","[""REPLACE_EXHAUST_RISERS""]",3,5.99,151.26,1361.01,2267.76,False,9,fixed,True,2014-09-10T16:00:00,repair,21679.95
wo_c1a2faf0384f,ves_216327f6caf4,2014-12-15T08:00:00,2014-12-28T08:00:00,5990,NAV,"[""N2K network offline""]","[""AUTO_SENSOR_DRIFT""]","[""CALIBRATE_AUTOPILOT""]",3,4.0,157.73,820.06,1451.3,False,13,fixed,True,2014-12-15T08:00:00,repair,21679.95
wo_8e95b2b9446d,ves_216327f6caf4,2018-08-12T16:00:00,2018-08-21T16:00:00,2511,FUEL,"[""poor idle""]","[""FUEL_WATER_CONTAM""]","[""REPLACE_FILTER_SEPARATOR"", ""TANK_CLEAN""]",3,9.19,204.81,86.07,1967.29,False,9,fixed,True,2018-08-12T16:00:00,repair,21679.95
wo_a578a984a71e,ves_216327f6caf4,2026-09-22T10:00:00,2026-09-29T10:00:00,6626,ELECTRICAL,"[""intermittent helm power""]","[""ELEC_CHAFE_SHORT""]","[""REWIRE_SECTION""]",5,22.36,217.3,54.46,4913.2,False,7,fixed,True,2026-09-22T10:00:00,repair,19025.26
wo_aa444f2dee00,ves_216327f6caf4,2022-07-19T11:00:00,2022-07-19T11:00:00,8155,AUX,"[""freshwater pump cycles""]","[""BILGE_PUMP_FAIL""]","[""REPLACE_BILGE_PUMP""]",3,2.32,159.0,141.54,510.87,False,0,partial,True,2022-07-19T11:00:00,repair,21679.95
wo_66427a52981f,ves_216327f6caf4,2017-02-01T08:00:00,2017-02-12T08:00:00,4990,HULL,"[""soft deck near helm""]","[""HULL_OSMOSIS_BLISTERING""]","[""REPAIR_OSMOSIS""]",3,62.4,212.84,125.06,14673.57,False,11,partial,True,2017-02-01T08:00:00,borderline,21679.95
wo_16a8c0c82f13,ves_b82ef7fe4a1f,2019-05-15T11:00:00,2019-05-21T11:00:00,262,ELECTRICAL,"[""intermittent helm power""]","[""ELEC_CHAFE_SHORT""]","[""REWIRE_SECTION""]",5,10.1,153.12,54.91,1601.35,False,6,fixed,True,2019-05-15T11:00:00,repair,8943.76
wo_8933d2cbe513,ves_b82ef7fe4a1f,2021-06-02T13:00:00,2021-06-11T13:00:00,337,NAV,"[""VHF transmit weak""]","[""NAV_SENSOR_FAIL""]","[""REPLACE_DEPTH_SENSOR""]",3,3.3,159.16,204.03,729.31,False,9,fixed,True,2021-06-02T13:00:00,repair,10191.73
wo_971f5e48d4d7,ves_b82ef7fe4a1f,2017-10-05T08:00:00,2017-10-14T08:00:00,353,FUEL,"[""water in separator""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,2.86,138.55,245.97,642.43,False,9,fixed,True,2017-10-05T08:00:00,repair,10191.73
wo_401fea535e03,ves_09252b95e92d,2015-11-07T08:00:00,2015-11-09T08:00:00,639,ENGINE,"[""hard start cold""]","[""ENG_OVERHEAT_IMPELLER""]","[""REPLACE_IMPELLER"", ""REPLACE_THERMOSTAT""]",4,4.75,189.0,237.54,1203.71,False,2,fixed,True,2015-11-07T08:00:00,repair,12773.59
wo_83539b3db283,ves_09252b95e92d,2015-11-20T12:00:00,2015-11-28T12:00:00,280,PROPULSION,"[""bellows leak observed""]","[""JET_WEAR_RING_CLEARANCE""]","[""REPLACE_WEAR_RING""]",3,3.98,190.58,154.77,913.17,False,8,fixed,True,2015-11-20T12:00:00,repair,13460.34
wo_031f9f7b98d0,ves_09252b95e92d,2022-06-04T14:00:00,2022-06-08T14:00:00,186,FUEL,"[""engine surges under load""]","[""FUEL_PUMP_FAIL""]","[""REPLACE_FUEL_PUMP""]",3,2.59,185.3,468.8,949.21,False,4,deferred,True,2022-06-04T14:00:00,repair,13460.34
wo_42ea97b53f31,ves_4d4f3133f393,2025-03-12T11:00:00,2025-03-30T11:00:00,832,ENGINE,"[""loss of power at WOT""]","[""ENG_LOW_COMPRESSION""]","[""REPOWER_ENGINE""]",5,91.58,151.39,9384.53,23463.25,False,18,total_loss,True,2025-03-12T11:00:00,decommission,7572.02
wo_42ffbd7ef983,ves_4d4f3133f393,2022-08-04T12:00:00,2022-08-29T12:00:00,1006,HULL,"[""blistering below waterline""]","[""HULL_TRANSOM_ROT""]","[""REPAIR_TRANSOM""]",5,130.97,167.14,3420.23,25821.26,False,25,total_loss,True,2022-08-04T12:00:00,decommission,7572.02
wo_97d02c92e128,ves_4d4f3133f393,2017-05-01T09:00:00,2017-05-11T09:00:00,1122,ELECTRICAL,"[""bilge alarm false trigger""]","[""ELEC_CHAFE_SHORT""]","[""REWIRE_SECTION""]",5,24.91,164.33,53.25,4146.33,False,10,partial,True,2017-05-01T09:00:00,repair,7572.02
wo_6b537885b9d7,ves_c7a94159f732,2016-05-10T13:00:00,2016-05-13T13:00:00,3091,ENGINE,"[""coolant temp high""]","[""ENG_OVERHEAT_IMPELLER""]","[""REPLACE_IMPELLER"", ""REPLACE_THERMOSTAT""]",4,6.75,138.02,231.84,1351.69,False,3,fixed,True,2016-05-10T13:00:00,repair,9263.98
wo_95120ae9d24e,ves_c7a94159f732,2019-04-03T09:00:00,2019-04-15T09:00:00,2926,ENGINE,"[""overheat alarm""]","[""ENG_OVERHEAT_IMPELLER""]","[""REPLACE_IMPELLER"", ""REPLACE_THERMOSTAT""]",4,4.69,144.09,244.84,1126.14,False,12,partial,True,2019-04-03T09:00:00,repair,9263.98
wo_3e0c779c03a9,ves_c7a94159f732,2023-12-24T16:00:00,2023-12-28T16:00:00,534,FUEL,"[""poor idle""]","[""FUEL_FILTER_CLOG""]","[""REPLACE_FILTER_SEPARATOR""]",3,1.95,158.19,89.79,397.9,False,4,fixed,True,2023-12-24T16:00:00,repair,9762.04
wo_e805c9404533,ves_c7a94159f732,2014-12-21T09:00:00,2014-12-23T09:00:00,1976,FUEL,"[""water in separator""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,5.02,131.63,117.98,778.22,False,2,partial,True,2014-12-21T09:00:00,repair,9762.04
wo_2cfa8132e0f1,ves_c7a94159f732,2024-12-06T12:00:00,2024-12-18T12:00:00,3402,ENGINE,"[""coolant temp high""]","[""ENG_LOW_COMPRESSION""]","[""REPOWER_ENGINE""]",5,47.4,181.38,9600.57,18321.24,False,12,total_loss,True,2024-12-06T12:00:00,decommission,8566.69
wo_1a783777a534,ves_c7a94159f732,2017-10-25T10:00:00,2017-10-30T10:00:00,2153,NAV,"[""N2K network offline""]","[""NAV_SENSOR_FAIL""]","[""REPLACE_DEPTH_SENSOR""]",3,4.0,116.26,196.57,661.29,False,5,fixed,True,2017-10-25T10:00:00,repair,9762.04
wo_f4c92b563adc,ves_f2595bc067f0,2018-06-03T09:00:00,2018-06-03T09:00:00,164,FUEL,"[""water in separator""]","[""FUEL_INJECTOR_CLOG""]","[""CLEAN_INJECTORS""]",3,3.02,187.33,788.92,1354.21,False,0,fixed,True,2018-06-03T09:00:00,repair,86047.97
wo_2395b0f384d2,ves_f2595bc067f0,2025-09-03T13:00:00,2025-09-03T13:00:00,175,ENGINE,"[""hard start cold""]","[""EXH_RISER_LEAK_BACKFLOW""]","[""REPLACE_EXHAUST_RISERS""]",3,6.66,196.13,1280.33,2586.08,False,0,fixed,True,2025-09-03T13:00:00,repair,86047.97
wo_89c761bb6997,ves_f2595bc067f0,2023-03-19T10:00:00,2023-03-26T10:00:00,52,ELECTRICAL,"[""house bank not charging""]","[""ELEC_STRAY_CURRENT""]","[""ELECTRICAL_FAULT_FIND""]",3,2.65,202.39,0.0,537.1,False,7,fixed,True,2023-03-19T10:00:00,repair,86047.97
wo_ea8092fcac4e,ves_f2595bc067f0,2021-09-16T13:00:00,2021-09-24T13:00:00,192,ELECTRICAL,"[""corroded battery terminal""]","[""ELEC_BATT_FAILURE""]","[""REPLACE_BATTERIES""]",3,1.3,128.56,2056.64,2223.27,False,8,fixed,True,2021-09-16T13:00:00,repair,86047.97
wo_c48b7c957351,ves_f2595bc067f0,2022-03-06T11:00:00,2022-03-07T11:00:00,158,ELECTRICAL,"[""intermittent helm power""]","[""ELEC_BATT_FAILURE""]","[""REPLACE_BATTERIES""]",3,2.13,185.74,323.41,719.79,False,1,fixed,True,2022-03-06T11:00:00,repair,86047.97
wo_286dee26c7be,ves_f2595bc067f0,2018-01-17T11:00:00,2018-01-27T11:00:00,174,ENGINE,"[""overheat alarm""]","[""ENG_SENSOR_FAIL""]","[""REPLACE_SENSOR""]",3,1.63,155.97,90.02,344.5,False,10,partial,True,2018-01-17T11:00:00,repair,86047.97
wo_14108e8fc688,ves_f2595bc067f0,2023-12-20T14:00:00,2023-12-27T14:00:00,90,PROPULSION,"[""bellows leak observed""]","[""PROP_BENT_SHAFT""]","[""REPAIR_SHAFT_ALIGN""]",3,15.54,193.99,1622.65,4638.0,False,7,fixed,True,2023-12-20T14:00:00,repair,86047.97
wo_f8782e825661,ves_f2595bc067f0,2025-09-18T15:00:00,2025-09-29T15:00:00,76,ELECTRICAL,"[""shore power breaker trips""]","[""ELEC_STRAY_CURRENT""]","[""ELECTRICAL_FAULT_FIND""]",3,10.45,170.99,0.0,1786.89,False,11,fixed,True,2025-09-18T15:00:00,repair,86047.97
wo_764388cee160,ves_bf78d7c86f5e,2016-07-19T10:00:00,2016-07-21T10:00:00,1024,FUEL,"[""fuel smell in bilge""]","[""FUEL_FILTER_CLOG""]","[""REPLACE_FILTER_SEPARATOR""]",3,1.16,168.88,86.04,282.57,False,2,fixed,True,2016-07-19T10:00:00,repair,64488.04
wo_fc9c673d8afb,ves_bf78d7c86f5e,2026-07-05T12:00:00,2026-07-20T12:00:00,1051,ENGINE,"[""loss of power at WOT""]","[""EXH_RISER_LEAK_BACKFLOW""]","[""REPLACE_EXHAUST_RISERS""]",3,9.42,167.42,628.77,2206.01,False,15,fixed,True,2026-07-05T12:00:00,repair,64488.04
wo_6aa9658be424,ves_bf78d7c86f5e,2023-08-12T09:00:00,2023-08-17T09:00:00,1704,FUEL,"[""engine surges under load""]","[""FUEL_FILTER_CLOG""]","[""REPLACE_FILTER_SEPARATOR""]",3,1.91,169.57,78.99,403.68,False,5,fixed,True,2023-08-12T09:00:00,repair,64488.04
wo_ae84df52899c,ves_bf78d7c86f5e,2026-03-03T12:00:00,2026-03-14T12:00:00,1672,ENGINE,"[""low oil pressure""]","[""EXH_RISER_LEAK_BACKFLOW""]","[""REPLACE_EXHAUST_RISERS""]",3,8.94,158.35,648.8,2064.83,False,11,fixed,True,2026-03-03T12:00:00,repair,64488.04
wo_11210463c766,ves_bf78d7c86f5e,2017-10-03T16:00:00,2017-10-09T16:00:00,1234,AUX,"[""macerator jammed""]","[""SAN_HOSE_PERMEATION""]","[""REPLACE_SAN_HOSE""]",3,10.94,132.26,126.04,1573.23,False,6,fixed,True,2017-10-03T16:00:00,repair,64488.04
wo_3f992b9e6b54,ves_e130f327298b,2022-02-25T09:00:00,2022-03-01T09:00:00,579,PROPULSION,"[""vibration underway""]","[""PROP_BELLOWS_BREACH""]","[""REPAIR_BELLOWS"", ""REPAIR_GIMBAL""]",3,22.93,177.29,318.22,4384.25,False,4,total_loss,True,2022-02-25T09:00:00,decommission,4462.0
wo_6491e602925d,ves_e130f327298b,2014-06-18T13:00:00,2014-06-23T13:00:00,390,AUX,"[""macerator jammed""]","[""PLUMB_PUMP_FAIL""]","[""REPLACE_WATER_PUMP""]",3,1.41,143.31,139.03,341.14,False,5,fixed,True,2014-06-18T13:00:00,repair,4462.0
wo_80748de82daa,ves_e130f327298b,2018-12-10T15:00:00,2018-12-21T15:00:00,326,AUX,"[""macerator jammed""]","[""SAN_CLOG""]","[""CLEAR_SANITATION_CLOG""]",3,1.37,155.5,0.0,212.57,False,11,fixed,True,2018-12-10T15:00:00,repair,4462.0
wo_04764d919f44,ves_e130f327298b,2025-10-23T16:00:00,2025-10-28T16:00:00,3026,NAV,"[""MFD reboots randomly""]","[""AUTO_SENSOR_DRIFT""]","[""CALIBRATE_AUTOPILOT""]",3,1.03,111.74,870.7,985.6,False,5,partial,True,2025-10-23T16:00:00,repair,4462.0
wo_0babad5f8217,ves_e130f327298b,2016-10-20T14:00:00,2016-10-20T14:00:00,1373,ELECTRICAL,"[""shore power breaker trips""]","[""ELEC_BATT_FAILURE""]","[""REPLACE_BATTERIES""]",3,2.85,192.12,367.01,913.8,False,0,fixed,True,2016-10-20T14:00:00,repair,4462.0
wo_0a23431cca0c,ves_e130f327298b,2025-05-12T10:00:00,2025-05-28T10:00:00,2259,HULL,"[""through-hull seeping""]","[""HULL_STRINGER_DELAM""]","[""REPAIR_STRINGERS""]",5,82.29,236.05,3017.15,23234.41,False,16,partial,True,2025-05-12T10:00:00,repair,3915.63
wo_98e08a75bd77,ves_e130f327298b,2025-04-11T08:00:00,2025-04-11T08:00:00,2217,NAV,"[""depth sounder no reading""]","[""AUTO_SENSOR_DRIFT""]","[""CALIBRATE_AUTOPILOT""]",3,3.09,141.96,898.04,1336.95,False,0,fixed,True,2025-04-11T08:00:00,repair,4462.0
wo_dd5e19bbc370,ves_fb6e986d0744,2021-09-08T12:00:00,2021-09-29T12:00:00,98,HULL,"[""soft deck near helm""]","[""HULL_STRINGER_DELAM""]","[""REPAIR_STRINGERS""]",5,169.65,170.89,125.09,29901.37,False,21,total_loss,True,2021-09-08T12:00:00,decommission,12070.67
wo_4b44102c304b,ves_fb6e986d0744,2014-12-12T11:00:00,2014-12-21T11:00:00,112,ELECTRICAL,"[""bilge alarm false trigger""]","[""ELEC_ALT_FAIL""]","[""REPLACE_ALTERNATOR""]",3,3.12,159.56,305.29,802.43,False,9,fixed,True,2014-12-12T11:00:00,repair,13754.95
wo_856baa6a791f,ves_fb6e986d0744,2023-08-17T10:00:00,2023-08-26T10:00:00,73,FUEL,"[""fuel smell in bilge""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,6.15,157.57,245.06,1213.93,False,9,fixed,True,2023-08-17T10:00:00,repair,13754.95
wo_7679d1296e3e,ves_fb6e986d0744,2020-01-01T15:00:00,2020-01-10T15:00:00,34,FUEL,"[""engine surges under load""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,4.97,193.68,247.17,1209.64,False,9,fixed,True,2020-01-01T15:00:00,repair,13754.95
wo_fa0b747e1d01,ves_fb6e986d0744,2016-04-16T14:00:00,2016-04-16T14:00:00,91,FUEL,"[""fuel smell in bilge""]","[""FUEL_LINE_CRACK""]","[""REPLACE_FUEL_LINES""]",3,7.34,165.75,123.64,1339.47,False,0,fixed,True,2016-04-16T14:00:00,repair,13754.95
