service_event_id,vessel_id,service_date,service_type,subsystem,engine_hours,cost,performed_by,documentation_quality,created_at
svc_129be2e48b94,ves_e85c97dcf495,2018-12-14,bottom_paint,HULL,373,1077.21,owner,1,2018-12-14T00:00:00
svc_2c87ab804da5,ves_e85c97dcf495,2025-03-15,oil_change,ENGINE,178,331.06,yard,2,2025-03-15T00:00:00
svc_7e8f422d14aa,ves_e85c97dcf495,2013-08-09,inspection,HULL,126,700.83,yard,0,2013-08-09T00:00:00
svc_02e68abbeb28,ves_e85c97dcf495,2024-05-26,impeller_change,ENGINE,557,559.77,dealer,0,2024-05-26T00:00:00
svc_dcf800e3fd24,ves_e85c97dcf495,2011-01-17,bottom_paint,HULL,133,1036.38,yard,2,2011-01-17T00:00:00
svc_de0537727910,ves_e85c97dcf495,2009-06-02,oil_change,ENGINE,128,409.45,yard,2,2009-06-02T00:00:00
svc_04ee2ad51c05,ves_bbe230212bed,2009-04-14,bottom_paint,HULL,798,885.41,owner,3,2009-04-14T00:00:00
svc_40295f15b52a,ves_bbe230212bed,2004-04-28,bottom_paint,HULL,2061,762.97,yard,3,2004-04-28T00:00:00
svc_07d07d298fcc,ves_bbe230212bed,2010-12-10,oil_change,ENGINE,967,567.54,yard,0,2010-12-10T00:00:00
svc_abf2f98e3579,ves_bbe230212bed,2003-01-02,spring_commission,AUX,3300,733.94,unknown,1,2003-01-02T00:00:00
svc_0f260725356d,ves_bbe230212bed,2008-04-08,oil_change,ENGINE,1070,267.61,yard,2,2008-04-08T00:00:00
svc_f95e026e84ed,ves_bbe230212bed,2006-02-16,oil_change,ENGINE,3210,576.21,yard,2,2006-02-16T00:00:00
svc_c1004d8e3b37,ves_bbe230212bed,2016-04-07,inspection,HULL,1403,489.88,owner,3,2016-04-07T00:00:00
svc_c6a27c328bf0,ves_bbe230212bed,2009-11-17,battery_replace,ELECTRICAL,2932,1179.84,unknown,3,2009-11-17T00:00:00
svc_dc8ee35298f3,ves_bbe230212bed,2014-01-07,inspection,HULL,496,558.67,yard,2,2014-01-07T00:00:00
svc_831a6d086448,ves_bbe230212bed,2026-08-05,winterize,AUX,2931,958.46,dealer,3,2026-08-05T00:00:00
svc_297b34823581,ves_bbe230212bed,2022-12-06,bottom_paint,HULL,3321,575.25,owner,1,2022-12-06T00:00:00
svc_6ae261b60f0c,ves_bbe230212bed,2025-06-11,oil_change,ENGINE,574,541.43,yard,1,2025-06-11T00:00:00
svc_f1fa181abb84,ves_bbe230212bed,2014-09-28,spring_commission,AUX,817,617.63,yard,2,2014-09-28T00:00:00
svc_b5a8b10dd217,ves_adebceae0fad,2016-12-01,impeller_change,ENGINE,567,626.26,yard,3,2016-12-01T00:00:00
svc_fd7b477b040a,ves_adebceae0fad,2001-05-27,impeller_change,ENGINE,128,395.87,yard,1,2001-05-27T00:00:00
svc_e8ecc4902297,ves_adebceae0fad,2011-05-11,oil_change,ENGINE,193,394.54,yard,1,2011-05-11T00:00:00
svc_5d62ba11ca40,ves_adebceae0fad,2017-12-16,oil_change,ENGINE,191,432.84,owner,3,2017-12-16T00:00:00
svc_ae90ccb40f05,ves_adebceae0fad,2024-03-21,oil_change,ENGINE,606,555.78,yard,3,2024-03-21T00:00:00
svc_3ba804953fb2,ves_adebceae0fad,2000-10-09,inspection,HULL,445,626.25,dealer,3,2000-10-09T00:00:00
svc_3eb44ec2f12b,ves_adebceae0fad,2011-11-23,oil_change,ENGINE,236,180.47,dealer,3,2011-11-23T00:00:00
svc_7be5325be26e,ves_adebceae0fad,2013-03-01,bottom_paint,HULL,195,426.56,dealer,1,2013-03-01T00:00:00
svc_4abab9404f8e,ves_adebceae0fad,2004-12-14,oil_change,ENGINE,562,342.56,unknown,0,2004-12-14T00:00:00
svc_565503dd5932,ves_adebceae0fad,2018-06-28,spring_commission,AUX,77,837.33,owner,2,2018-06-28T00:00:00
svc_cd935563fb31,ves_6647655670db,2006-05-03,oil_change,ENGINE,281,254.11,yard,2,2006-05-03T00:00:00
svc_a27ee944776f,ves_6647655670db,2003-12-12,spring_commission,AUX,649,1165.55,yard,2,2003-12-12T00:00:00
svc_812a49998286,ves_6647655670db,2003-06-02,bottom_paint,HULL,238,448.83,dealer,3,2003-06-02T00:00:00
svc_f0b9e862cc2a,ves_6647655670db,2000-12-22,impeller_change,ENGINE,162,642.98,owner,3,2000-12-22T00:00:00
svc_3b79100cf24e,ves_6647655670db,2013-12-19,inspection,HULL,470,878.76,unknown,2,2013-12-19T00:00:00
svc_b3db740a6354,ves_6647655670db,2015-11-12,winterize,AUX,564,390.82,yard,3,2015-11-12T00:00:00
svc_135ff6096f69,ves_6647655670db,2015-09-12,winterize,AUX,416,1586.42,dealer,2,2015-09-12T00:00:00
svc_eae7af08f2fe,ves_6647655670db,2003-02-26,oil_change,ENGINE,162,258.49,yard,3,2003-02-26T00:00:00
svc_ebd4a8543695,ves_6647655670db,2006-02-28,spring_commission,AUX,161,1329.58,dealer,2,2006-02-28T00:00:00
svc_47cc8d50cacb,ves_216327f6caf4,2004-02-26,oil_change,ENGINE,2010,517.08,unknown,0,2004-02-26T00:00:00
svc_1005869e5da3,ves_216327f6caf4,2005-10-09,bottom_paint,HULL,6239,1254.13,owner,2,2005-10-09T00:00:00
svc_38e13f14b31b,ves_216327f6caf4,2024-08-11,winterize,AUX,5262,661.93,dealer,3,2024-08-11T00:00:00
svc_a729ba8f72b6,ves_216327f6caf4,2008-09-27,impeller_change,ENGINE,3084,577.21,dealer,3,2008-09-27T00:00:00
svc_f1d735f0f32b,ves_216327f6caf4,2026-05-09,inspection,HULL,4460,248.29,yard,3,2026-05-09T00:00:00
svc_9504b8cd4928,ves_216327f6caf4,2012-04-09,inspection,HULL,7196,465.09,dealer,3,2012-04-09T00:00:00
svc_7811b67ef4e2,ves_216327f6caf4,2020-05-28,oil_change,ENGINE,4069,353.12,yard,2,2020-05-28T00:00:00
svc_87d450ced622,ves_b82ef7fe4a1f,2013-02-11,battery_replace,ELECTRICAL,100,711.79,owner,2,2013-02-11T00:00:00
svc_b57f1e71ff6f,ves_b82ef7fe4a1f,2020-12-26,spring_commission,AUX,551,358.09,yard,1,2020-12-26T00:00:00
svc_8433e50ef295,ves_b82ef7fe4a1f,2012-06-08,bottom_paint,HULL,435,689.76,owner,2,2012-06-08T00:00:00
svc_65cc3fd8ae73,ves_09252b95e92d,2014-04-28,impeller_change,ENGINE,1220,340.16,yard,1,2014-04-28T00:00:00
svc_cb529e87a5ff,ves_09252b95e92d,2021-09-10,winterize,AUX,1091,433.07,dealer,3,2021-09-10T00:00:00
svc_0cad3cea2c72,ves_09252b95e92d,2023-12-28,impeller_change,ENGINE,488,295.98,owner,1,2023-12-28T00:00:00
svc_cc323f896a4e,ves_4d4f3133f393,2016-05-08,bottom_paint,HULL,191,820.59,dealer,2,2016-05-08T00:00:00
svc_65e7cc7b5ba1,ves_4d4f3133f393,2014-08-13,oil_change,ENGINE,924,224.66,dealer,1,2014-08-13T00:00:00
svc_56bcca4d2a5a,ves_4d4f3133f393,2017-02-15,oil_change,ENGINE,926,256.72,dealer,3,2017-02-15T00:00:00
svc_82764b3d1cc6,ves_4d4f3133f393,2016-04-10,oil_change,ENGINE,732,368.92,yard,0,2016-04-10T00:00:00
svc_b4e00a5af6ff,ves_c7a94159f732,2026-02-09,bottom_paint,HULL,1953,932.44,dealer,1,2026-02-09T00:00:00
svc_bb17cbf21e3e,ves_c7a94159f732,2010-12-20,oil_change,ENGINE,3076,327.34,unknown,1,2010-12-20T00:00:00
svc_2799472d6a2c,ves_f2595bc067f0,2017-10-01,bottom_paint,HULL,148,1159.64,unknown,1,2017-10-01T00:00:00
svc_5a22ba18d904,ves_f2595bc067f0,2021-06-09,oil_change,ENGINE,123,203.85,owner,3,2021-06-09T00:00:00
svc_5b85e7721dfe,ves_bf78d7c86f5e,2006-11-26,oil_change,ENGINE,1806,561.97,dealer,3,2006-11-26T00:00:00
svc_3b1f524bb6b8,ves_bf78d7c86f5e,2021-09-16,bottom_paint,HULL,984,1315.34,yard,1,2021-09-16T00:00:00
svc_6a4bbc223926,ves_bf78d7c86f5e,2014-03-28,inspection,HULL,1916,383.06,dealer,2,2014-03-28T00:00:00
svc_dbd9f92afcc0,ves_bf78d7c86f5e,2011-10-05,oil_change,ENGINE,1395,568.89,dealer,2,2011-10-05T00:00:00
svc_6b4d1d5a9ba0,ves_bf78d7c86f5e,2019-05-14,oil_change,ENGINE,782,368.52,dealer,2,2019-05-14T00:00:00
svc_eef0554ca0b1,ves_bf78d7c86f5e,2016-01-24,oil_change,ENGINE,2332,483.41,owner,3,2016-01-24T00:00:00
svc_4aa816a6a23e,ves_bf78d7c86f5e,2025-06-17,winterize,AUX,1867,1595.23,yard,3,2025-06-17T00:00:00
svc_bafe3c325112,ves_bf78d7c86f5e,2015-06-14,oil_change,ENGINE,458,251.76,yard,1,2015-06-14T00:00:00
svc_4595b84fd834,ves_bf78d7c86f5e,2026-07-24,winterize,AUX,1458,1203.16,yard,3,2026-07-24T00:00:00
svc_b40f76cf3ee2,ves_bf78d7c86f5e,2004-05-17,winterize,AUX,2127,528.65,owner,2,2004-05-17T00:00:00
svc_8d5f6c8484fc,ves_e130f327298b,2023-03-01,oil_change,ENGINE,1418,446.52,unknown,2,2023-03-01T00:00:00
svc_982aa2864a4d,ves_e130f327298b,2018-07-05,impeller_change,ENGINE,2087,366.81,yard,2,2018-07-05T00:00:00
svc_d8e78fb0a1b2,ves_e130f327298b,2005-12-27,oil_change,ENGINE,2966,311.33,owner,3,2005-12-27T00:00:00
svc_d38da4a4cc84,ves_e130f327298b,2008-03-06,winterize,AUX,2038,526.37,yard,3,2008-03-06T00:00:00
svc_2a5794009c25,ves_e130f327298b,2021-06-22,battery_replace,ELECTRICAL,2798,346.9,dealer,2,2021-06-22T00:00:00
svc_c1cba2584d46,ves_e130f327298b,2020-04-13,spring_commission,AUX,509,523.39,yard,1,2020-04-13T00:00:00
svc_48b01aa8fe61,ves_e130f327298b,2020-11-15,impeller_change,ENGINE,1427,351.36,dealer,2,2020-11-15T00:00:00
svc_e2bf313ff2bb,ves_e130f327298b,2012-10-06,bottom_paint,HULL,849,746.69,owner,3,2012-10-06T00:00:00
svc_236e68efe918,ves_e130f327298b,2020-04-18,oil_change,ENGINE,1224,215.81,yard,3,2020-04-18T00:00:00
svc_44f744db98db,ves_fb6e986d0744,2025-11-04,winterize,AUX,87,553.47,yard,3,2025-11-04T00:00:00
svc_d5d51c12c72d,ves_2b1070eb73f5,2021-05-19,winterize,AUX,1439,912.25,dealer,3,2021-05-19T00:00:00
svc_79265aa90422,ves_2b1070eb73f5,2013-11-11,oil_change,ENGINE,1301,449.2,owner,3,2013-11-11T00:00:00
svc_c14f89c4e314,ves_2b1070eb73f5,2015-02-18,oil_change,ENGINE,232,231.97,dealer,2,2015-02-18T00:00:00
svc_d58d27c05100,ves_2b1070eb73f5,2015-04-15,inspection,HULL,1253,682.13,dealer,1,2015-04-15T00:00:00
svc_021e5bd06f2c,ves_2b1070eb73f5,2008-12-19,winterize,AUX,1156,1717.41,yard,3,2008-12-19T00:00:00
svc_acc216ca7f87,ves_8ed83e346266,2006-07-07,oil_change,ENGINE,2182,502.5,unknown,3,2006-07-07T00:00:00
svc_b0341fc656bc,ves_8ed83e346266,2007-11-11,battery_replace,ELECTRICAL,1349,785.32,yard,3,2007-11-11T00:00:00
svc_5f915f9b6771,ves_8ed83e346266,2007-03-18,spring_commission,AUX,3387,919.98,dealer,2,2007-03-18T00:00:00
svc_765403991e35,ves_8ed83e346266,2007-04-16,inspection,HULL,2895,319.35,yard,2,2007-04-16T00:00:00
svc_daf17a52ad1b,ves_8ed83e346266,2012-02-13,oil_change,ENGINE,1682,274.83,yard,2,2012-02-13T00:00:00
svc_1cc78ab0c992,ves_8ed83e346266,2020-10-12,oil_change,ENGINE,3165,522.81,dealer,3,2020-10-12T00:00:00
svc_3f97b61dc81b,ves_8ed83e346266,2009-04-26,oil_change,ENGINE,2073,540.98,dealer,1,2009-04-26T00:00:00
svc_2d188d4ea212,ves_8ed83e346266,2005-11-20,oil_change,ENGINE,3138,480.97,dealer,2,2005-11-20T00:00:00
svc_1c2fb3c018e3,ves_8ed83e346266,2017-09-19,winterize,AUX,2380,785.77,dealer,3,2017-09-19T00:00:00
svc_b31fdeeac782,ves_8ed83e346266,2002-01-25,inspection,HULL,937,688.37,owner,2,2002-01-25T00:00:00
svc_ee79b51515af,ves_8ed83e346266,2009-07-26,battery_replace,ELECTRICAL,3289,897.45,yard,1,2009-07-26T00:00:00
svc_5533f0aaa14f,ves_8ed83e346266,2023-10-16,inspection,HULL,1542,684.77,dealer,2,2023-10-16T00:00:00
svc_5f1d802433c9,ves_e3d7ab48e36b,2001-12-21,winterize,AUX,783,864.24,yard,2,2001-12-21T00:00:00
svc_c4ef4f16301a,ves_e3d7ab48e36b,2024-02-01,battery_replace,ELECTRICAL,991,784.83,yard,3,2024-02-01T00:00:00
svc_3ad0a7eb1ffd,ves_e3d7ab48e36b,2004-09-21,spring_commission,AUX,1797,442.5,yard,3,2004-09-21T00:00:00
svc_6cef66cd7f20,ves_e3d7ab48e36b,2013-06-18,oil_change,ENGINE,1995,277.8,yard,3,2013-06-18T00:00:00
svc_8287b0502fa3,ves_e3d7ab48e36b,2003-06-18,spring_commission,AUX,1503,1467.46,dealer,3,2003-06-18T00:00:00
svc_044fc03c07ec,ves_f338eaec1611,2025-05-05,battery_replace,ELECTRICAL,1283,534.68,yard,1,2025-05-05T00:00:00
svc_348ac84aef4c,ves_f338eaec1611,2006-02-17,oil_change,ENGINE,897,447.92,yard,2,2006-02-17T00:00:00
svc_7e511465be8d,ves_f338eaec1611,2013-08-13,inspection,HULL,1241,662.4,owner,0,2013-08-13T00:00:00
svc_dcfcd2fa3b51,ves_daa8bc494074,2014-10-19,bottom_paint,HULL,1446,1313.59,dealer,3,2014-10-19T00:00:00
svc_4566529c5590,ves_daa8bc494074,2011-07-01,oil_change,ENGINE,3109,569.16,dealer,2,2011-07-01T00:00:00
svc_80572a70c284,ves_daa8bc494074,2010-11-12,oil_change,ENGINE,3756,301.82,unknown,3,2010-11-12T00:00:00
svc_8ee7a56cf056,ves_daa8bc494074,2010-03-12,inspection,HULL,6566,871.25,unknown,2,2010-03-12T00:00:00
svc_42661eefae7e,ves_daa8bc494074,2001-02-10,winterize,AUX,7776,1590.08,dealer,2,2001-02-10T00:00:00
svc_6d2341e3babd,ves_daa8bc494074,2006-06-03,battery_replace,ELECTRICAL,3288,713.56,yard,1,2006-06-03T00:00:00
svc_cf507ff37e78,ves_daa8bc494074,2004-03-22,oil_change,ENGINE,7590,368.52,dealer,2,2004-03-22T00:00:00
svc_36945290937c,ves_daa8bc494074,2010-06-23,battery_replace,ELECTRICAL,1722,815.54,yard,2,2010-06-23T00:00:00
svc_cea401a553bd,ves_fe262ed8c4bc,2012-09-26,impeller_change,ENGINE,471,464.49,dealer,1,2012-09-26T00:00:00
svc_328a792f07fe,ves_fe262ed8c4bc,2011-06-03,oil_change,ENGINE,283,412.54,yard,3,2011-06-03T00:00:00
svc_ca84317f5f90,ves_12a87c360979,2023-01-05,inspection,HULL,116,635.02,unknown,2,2023-01-05T00:00:00
svc_c00a351b536e,ves_69f1d82b3eae,2008-11-01,spring_commission,AUX,1946,1343.28,yard,2,2008-11-01T00:00:00
svc_f8c406026258,ves_69f1d82b3eae,2023-11-24,winterize,AUX,1901,911.84,yard,0,2023-11-24T00:00:00
svc_b867d16d0f4d,ves_56b27dda6381,2005-03-18,spring_commission,AUX,440,1418.88,owner,1,2005-03-18T00:00:00
svc_f5d42d5ba4a6,ves_56b27dda6381,2026-12-03,battery_replace,ELECTRICAL,997,1157.86,unknown,2,2026-12-03T00:00:00
svc_8074f68c1b5a,ves_d9e504bbe7a3,2025-04-09,spring_commission,AUX,68,1143.01,yard,3,2025-04-09T00:00:00
svc_71af1a1e9d10,ves_2302948d9294,2012-10-11,bottom_paint,HULL,1011,376.04,unknown,3,2012-10-11T00:00:00
svc_341994e28612,ves_2302948d9294,2023-12-06,oil_change,ENGINE,665,561.66,yard,1,2023-12-06T00:00:00
svc_8fa3cdb114f3,ves_2302948d9294,2021-09-16,oil_change,ENGINE,1456,594.3,yard,3,2021-09-16T00:00:00
svc_ccb1ac6865b1,ves_2302948d9294,2021-04-12,oil_change,ENGINE,208,188.87,dealer,3,2021-04-12T00:00:00
svc_951140412992,ves_895a119cdc64,2009-07-09,oil_change,ENGINE,330,615.24,yard,1,2009-07-09T00:00:00
svc_4a48aa30b76e,ves_895a119cdc64,2017-09-11,inspection,HULL,244,873.58,owner,3,2017-09-11T00:00:00
svc_28625fe5a070,ves_895a119cdc64,2015-05-02,oil_change,ENGINE,431,455.12,owner,0,2015-05-02T00:00:00
svc_9180a2d8eb84,ves_47cba761526a,2017-06-27,impeller_change,ENGINE,1431,553.05,yard,1,2017-06-27T00:00:00
svc_2516ab247fa4,ves_47cba761526a,2026-04-26,oil_change,ENGINE,1550,478.64,owner,2,2026-04-26T00:00:00
svc_6361b8ed60bc,ves_47cba761526a,2011-06-27,oil_change,ENGINE,989,304.54,unknown,3,2011-06-27T00:00:00
svc_25978025944b,ves_47cba761526a,2025-04-18,winterize,AUX,1007,1535.39,unknown,3,2025-04-18T00:00:00
svc_254b1efc20e6,ves_47cba761526a,2025-09-12,oil_change,ENGINE,453,330.41,owner,0,2025-09-12T00:00:00
svc_8a954718de96,ves_47cba761526a,2002-03-07,winterize,AUX,1268,1359.52,yard,1,2002-03-07T00:00:00
svc_3d1ea92085d7,ves_47cba761526a,2023-06-15,winterize,AUX,1072,656.47,owner,2,2023-06-15T00:00:00
svc_d53649b2143c,ves_47cba761526a,2017-02-28,oil_change,ENGINE,1517,477.34,yard,3,2017-02-28T00:00:00
svc_9da977929199,ves_47cba761526a,2016-07-09,oil_change,ENGINE,1127,418.91,dealer,2,2016-07-09T00:00:00
svc_f3657afd76bc,ves_47cba761526a,2022-09-14,inspection,HULL,906,272.86,yard,1,2022-09-14T00:00:00
svc_e140f8c5931b,ves_47cba761526a,2014-11-27,spring_commission,AUX,1735,595.5,owner,2,2014-11-27T00:00:00
svc_c3b47d5d99bf,ves_47cba761526a,2024-12-15,bottom_paint,HULL,923,1484.05,dealer,1,2024-12-15T00:00:00
svc_d7a305bc8ba9,ves_47cba761526a,2003-08-19,inspection,HULL,1017,496.13,yard,2,2003-08-19T00:00:00
svc_a49db8fa14da,ves_47cba761526a,2000-10-28,oil_change,ENGINE,1659,369.79,unknown,3,2000-10-28T00:00:00
svc_ecf7b97cc678,ves_47cba761526a,2010-09-26,spring_commission,AUX,1038,1140.81,dealer,3,2010-09-26T00:00:00
svc_92ee946e4389,ves_47cba761526a,2001-03-19,battery_replace,ELECTRICAL,265,1145.7,yard,2,2001-03-19T00:00:00
svc_4e59a0125cb4,ves_f793c492b5b4,2004-03-18,spring_commission,AUX,15470,805.39,yard,2,2004-03-18T00:00:00
svc_0bee9dc90b52,ves_f793c492b5b4,2007-10-10,oil_change,ENGINE,7144,512.94,unknown,2,2007-10-10T00:00:00
svc_5b853b9afeeb,ves_f793c492b5b4,2024-07-13,impeller_change,ENGINE,16695,626.08,yard,2,2024-07-13T00:00:00
svc_f6b9cb20b931,ves_f793c492b5b4,2005-05-01,inspection,HULL,2687,578.0,yard,1,2005-05-01T00:00:00
svc_3722710c8365,ves_f793c492b5b4,2012-08-25,inspection,HULL,15988,843.13,yard,3,2012-08-25T00:00:00
svc_deaccf48d8ef,ves_f793c492b5b4,2024-09-28,oil_change,ENGINE,10547,269.92,dealer,0,2024-09-28T00:00:00
svc_7f9f3e81f91c,ves_ef844f8f7adc,2024-08-09,battery_replace,ELECTRICAL,56,679.52,unknown,2,2024-08-09T00:00:00
svc_48e9ad319320,ves_89bd4847b43e,2026-12-25,inspection,HULL,221,872.7,owner,2,2026-12-25T00:00:00
svc_754dda6c8214,ves_7b645c568f40,2023-02-11,impeller_change,ENGINE,107,623.47,dealer,2,2023-02-11T00:00:00
svc_2fc142feb8b9,ves_7b645c568f40,2023-01-25,battery_replace,ELECTRICAL,145,446.04,yard,3,2023-01-25T00:00:00
svc_9144fcbdd21f,ves_7b645c568f40,2024-12-26,oil_change,ENGINE,81,199.84,yard,2,2024-12-26T00:00:00
svc_5ccdb941cdcd,ves_7b645c568f40,2026-09-07,spring_commission,AUX,79,778.54,yard,3,2026-09-07T00:00:00
svc_afaf9db60fde,ves_7b645c568f40,2021-07-22,battery_replace,ELECTRICAL,103,362.43,owner,1,2021-07-22T00:00:00
svc_3fa1edbeb1b2,ves_10beb69891f5,2024-02-07,oil_change,ENGINE,363,267.28,dealer,3,2024-02-07T00:00:00
svc_041bdc9ccb0b,ves_56cfff14c63e,2016-06-15,winterize,AUX,703,331.25,yard,3,2016-06-15T00:00:00
svc_9fcb59559191,ves_56cfff14c63e,2021-08-24,spring_commission,AUX,765,1385.14,dealer,3,2021-08-24T00:00:00
svc_6fa59b3719d4,ves_56cfff14c63e,2013-01-26,oil_change,ENGINE,428,253.34,yard,2,2013-01-26T00:00:00
svc_5f5a9e9bc291,ves_56cfff14c63e,2022-01-04,spring_commission,AUX,662,248.33,dealer,3,2022-01-04T00:00:00
svc_47327d3493f8,ves_56cfff14c63e,2021-08-23,winterize,AUX,1382,398.75,dealer,2,2021-08-23T00:00:00
svc_a830233841f4,ves_56cfff14c63e,2003-10-25,spring_commission,AUX,258,769.1,yard,1,2003-10-25T00:00:00
svc_98b4cff9972d,ves_56cfff14c63e,2025-02-12,impeller_change,ENGINE,1479,450.0,yard,2,2025-02-12T00:00:00
svc_2b6f6ae9a286,ves_56cfff14c63e,2016-09-20,oil_change,ENGINE,1171,605.33,yard,2,2016-09-20T00:00:00
svc_8eb40204646e,ves_56cfff14c63e,2014-02-15,impeller_change,ENGINE,612,230.83,owner,1,2014-02-15T00:00:00
svc_0ae4fb9ce7f1,ves_56cfff14c63e,2021-07-22,inspection,HULL,1156,845.75,dealer,2,2021-07-22T00:00:00
svc_d2d28e680d0c,ves_24e6b6e0043c,2020-03-28,oil_change,ENGINE,1116,639.36,yard,0,2020-03-28T00:00:00
svc_1fd087a839ad,ves_24e6b6e0043c,2006-07-07,impeller_change,ENGINE,1195,731.95,yard,3,2006-07-07T00:00:00
svc_baef0db2de71,ves_24e6b6e0043c,2017-10-19,oil_change,ENGINE,866,475.7,yard,2,2017-10-19T00:00:00
svc_a8b75bdf746d,ves_24e6b6e0043c,2020-07-09,oil_change,ENGINE,295,222.2,unknown,2,2020-07-09T00:00:00
svc_ad8e30d4c23d,ves_24e6b6e0043c,2025-01-17,inspection,HULL,272,735.81,owner,3,2025-01-17T00:00:00
svc_3408cd682c33,ves_24e6b6e0043c,2020-06-09,impeller_change,ENGINE,954,263.27,yard,2,2020-06-09T00:00:00
svc_13681fedd62a,ves_24e6b6e0043c,2002-02-19,bottom_paint,HULL,249,901.76,dealer,3,2002-02-19T00:00:00
svc_769c1ace63c5,ves_24e6b6e0043c,2023-06-17,winterize,AUX,838,1186.9,yard,2,2023-06-17T00:00:00
svc_098a71b35755,ves_24e6b6e0043c,2018-10-26,winterize,AUX,413,304.22,owner,1,2018-10-26T00:00:00
svc_be5532293ccc,ves_26f2f107f8e3,2001-05-14,spring_commission,AUX,1624,838.64,dealer,1,2001-05-14T00:00:00
svc_580dc6481fdb,ves_26f2f107f8e3,2000-10-28,oil_change,ENGINE,1781,618.4,yard,0,2000-10-28T00:00:00
svc_6c1095ef4187,ves_26f2f107f8e3,2016-08-03,inspection,HULL,442,532.11,yard,2,2016-08-03T00:00:00
svc_7de6db60c93f,ves_26f2f107f8e3,2015-01-05,battery_replace,ELECTRICAL,2002,253.42,yard,2,2015-01-05T00:00:00
svc_3e0d64f4b019,ves_26f2f107f8e3,2004-03-15,oil_change,ENGINE,562,197.01,yard,3,2004-03-15T00:00:00
svc_5b04cf6c4ac1,ves_26f2f107f8e3,2016-01-05,battery_replace,ELECTRICAL,3361,676.52,yard,1,2016-01-05T00:00:00
svc_9daf001c307c,ves_067e06f225a9,2022-10-22,spring_commission,AUX,365,587.29,owner,1,2022-10-22T00:00:00
svc_bfbf4f5d6bac,ves_129e2bb693c0,2014-09-03,spring_commission,AUX,1012,1111.67,yard,2,2014-09-03T00:00:00
svc_8567181d3063,ves_129e2bb693c0,2014-08-17,oil_change,ENGINE,1575,611.09,unknown,1,2014-08-17T00:00:00
svc_d42fd47ddf0e,ves_50852628ccb5,2019-09-22,inspection,HULL,57,528.57,dealer,2,2019-09-22T00:00:00
svc_b83583a4d44d,ves_50852628ccb5,2017-07-01,oil_change,ENGINE,369,430.52,dealer,2,2017-07-01T00:00:00
svc_dfe49953c591,ves_50852628ccb5,2013-09-22,bottom_paint,HULL,93,812.66,dealer,1,2013-09-22T00:00:00
