comp_id,comp_source,comp_type,make,model,year_built,loa_ft,propulsion_type,engine_hours,region_market,condition_grade,list_price,sold_price,days_on_market,sale_date,equipment_flags,notes
comp_dc6ab2e82ba6,internal_sales,sold,Harris,Cruiser 210,2011,28.77,outboard,1483,Atlantic Coast,good,17354.94,15167.19,17,2025-08-20,"[""autopilot"", ""generator""]",
comp_4c00b32e3ca3,marketplace,sold,Carver,C40 Command Bridge,2007,41.17,inboard,1289,Maritimes,very_good,97582.51,82455.5,146,2026-12-13,[],
comp_f4e357b10d6e,brokerage,listing,Hunter,31,2015,24.67,inboard,211,Gulf Coast,very_good,55779.72,,22,2026-11-10,[],
comp_5513a8292806,brokerage,listing,Bayliner,Ciera 8,1969,25.11,sterndrive,4943,Maritimes,fair,4432.47,,49,2023-12-15,"[""solar"", ""autopilot"", ""trailer""]",
comp_32720e5a6ef2,marketplace,sold,Sea Ray,SPX 190,2018,40.71,inboard,357,Gulf Coast,good,137512.05,133657.65,20,2025-01-04,"[""autopilot"", ""solar""]",
comp_8f501f94677f,marketplace,sold,Sun Tracker,Bass Buggy 18 DLX,2016,26.0,outboard,227,Inland Lakes,poor,10728.17,9984.81,9,2024-06-06,"[""joystick""]",
comp_30691a37651e,brokerage,listing,Harris,Solstice 230,1972,21.78,outboard,3009,Great Lakes,fair,2797.5,,68,2024-09-11,[],
comp_bde511721668,marketplace,sold,Sea Ray,SLX 260,1998,20.28,outboard,952,Inland Lakes,fair,9147.98,8331.44,119,2024-05-28,"[""solar""]",
comp_7e18177ff11a,brokerage,listing,Lund,1650 Angler,1981,17.27,outboard,2287,Pacific Coast,fair,4685.51,,31,2026-02-13,[],
comp_32f79402b4af,marketplace,sold,Harris,Cruiser 210,2005,23.21,outboard,385,Pacific Coast,poor,5911.31,5085.1,41,2025-08-06,"[""autopilot""]",
comp_76f9593b5204,marketplace,sold,Boston Whaler,280 Vantage,2022,24.39,inboard,861,Great Lakes,good,46856.42,43073.53,16,2025-01-16,"[""radar""]",
comp_1fcaf8fd504d,marketplace,sold,Catalina,445,2025,19.04,inboard,0,Great Lakes,good,61035.14,53135.85,19,2025-12-17,"[""autopilot"", ""solar""]",
comp_17d06775c04e,internal_sales,listing,Boston Whaler,170 Montauk,1981,24.54,outboard,821,Pacific Coast,very_good,11565.38,,180,2023-04-22,"[""joystick"", ""solar""]",
comp_ed0e586dce9b,brokerage,sold,Bennington,20 SVL,1982,18.85,outboard,1357,Pacific Coast,fair,4070.63,3859.18,98,2024-04-24,"[""radar""]",
comp_30984904ab25,internal_sales,sold,Sun Tracker,Party Barge 22 DLX,2021,19.71,outboard,172,Inland Lakes,poor,9563.22,8059.11,47,2023-05-20,"[""solar"", ""AIS""]",
comp_b02283d2da36,internal_sales,sold,Grady-White,336 Canyon,2011,26.0,outboard,147,Gulf Coast,fair,19856.84,17791.08,71,2024-12-25,[],
comp_f870327480e6,internal_sales,sold,Sea Ray,SLX 260,2010,17.19,outboard,575,Great Lakes,good,12405.52,10638.86,71,2026-04-23,"[""generator"", ""solar"", ""radar""]",
comp_6e91af5875ea,marketplace,sold,Regal,LS4,2012,23.58,sterndrive,355,Maritimes,excellent,15716.31,13480.17,50,2024-02-21,"[""autopilot"", ""AIS"", ""solar""]",
comp_e564fbdd6c78,brokerage,sold,Bennington,24 LXSB,1994,18.33,outboard,603,Pacific Coast,excellent,7277.28,6331.48,119,2024-06-03,"[""joystick"", ""autopilot""]",
comp_e0323316a1db,brokerage,sold,Catalina,355,2024,37.01,inboard,77,Great Lakes,good,144773.27,131563.52,13,2024-07-01,[],
comp_04797ee767bd,brokerage,listing,Bayliner,Ciera 8,1985,24.7,outboard,3211,Maritimes,good,8660.29,,17,2025-04-17,"[""autopilot""]",
comp_34dabe65f83e,brokerage,sold,Regal,28 Express,2018,21.77,sterndrive,617,Gulf Coast,very_good,24509.72,23981.37,80,2024-02-13,"[""AIS"", ""generator"", ""trailer""]",
comp_4daa2fcbe4ac,brokerage,sold,Tiara,38 LS,2010,36.01,sterndrive,2106,Inland Lakes,good,96873.16,82926.67,622,2025-09-28,"[""joystick"", ""autopilot"", ""solar""]",
comp_94635213b103,marketplace,sold,Alumacraft Pro,Trophy 195,2020,24.04,outboard,5016,Maritimes,fair,45930.61,39504.2,67,2024-03-17,"[""solar"", ""AIS"", ""autopilot""]",
comp_fa55f98954ba,brokerage,sold,Grady-White,191 CE,1969,16.26,outboard,2885,Maritimes,very_good,3651.31,3164.24,38,2024-09-25,"[""autopilot"", ""AIS"", ""trailer""]",
comp_b8412a31073a,marketplace,sold,Bennington,22 SSB,1993,20.05,outboard,2400,Gulf Coast,fair,5868.6,5489.06,68,2026-02-08,"[""solar""]",
comp_a3cdd7cbd0a6,internal_sales,sold,Carver,C40 Command Bridge,2014,44.52,sterndrive,1200,Maritimes,very_good,150841.47,136895.25,80,2023-05-10,"[""AIS""]",
comp_ca16f0d2cf2c,brokerage,sold,Regal,LS4,2020,26.0,outboard,263,Pacific Coast,good,33599.58,30043.35,20,2024-05-07,[],
comp_87f51ad518c7,marketplace,sold,Jeanneau,Leader 10.5,2011,50.72,inboard,712,Inland Lakes,excellent,186067.77,171488.74,54,2024-09-15,[],
comp_340860648aee,marketplace,listing,SafeBoat,25 Defender,2006,8.0,inboard,1487,Inland Lakes,fair,6449.99,,23,2023-05-08,[],
comp_06aae6f073f6,marketplace,sold,Sun Tracker,Party Barge 22 DLX,1992,17.06,outboard,1965,Maritimes,good,4681.94,4583.15,22,2023-02-06,[],
comp_af637c114dab,marketplace,sold,Bennington,20 SVL,1999,22.8,outboard,392,Inland Lakes,very_good,12126.51,10772.57,115,2024-01-20,"[""autopilot"", ""joystick"", ""AIS""]",
comp_bac5189d349d,marketplace,sold,Sea Ray,SLX 260,2005,43.38,sterndrive,1021,Great Lakes,very_good,109009.22,99704.31,91,2026-10-27,"[""AIS"", ""solar""]",
comp_a79086d4a940,marketplace,sold,Regal,28 Express,2011,15.23,outboard,938,Atlantic Coast,good,10250.01,9101.96,71,2023-05-10,"[""solar""]",
comp_6f9652d76dfa,marketplace,listing,Chaparral,23 SSi,2004,25.11,sterndrive,533,Great Lakes,good,19728.92,,41,2026-10-26,"[""autopilot""]",
comp_a87d3fc1311e,brokerage,sold,Jeanneau,Leader 10.5,2025,35.81,sail_aux,84,Pacific Coast,good,167662.73,156770.21,66,2024-08-12,[],
comp_fe2493e851dc,internal_sales,listing,Sun Tracker,Bass Buggy 18 DLX,2023,26.0,outboard,151,Pacific Coast,good,27560.33,,21,2026-04-19,"[""radar""]",
comp_a81132c15134,marketplace,listing,Chaparral,23 SSi,2022,20.76,sterndrive,313,Maritimes,poor,15872.76,,23,2026-05-12,"[""trailer"", ""AIS""]",
comp_fc16dc94a2a1,marketplace,sold,Harris,Cruiser 210,2017,26.0,outboard,324,Maritimes,good,19819.51,16804.88,40,2024-02-16,"[""generator"", ""joystick""]",
comp_0a950167c25a,marketplace,listing,Sun Tracker,Party Barge 22 DLX,1977,18.66,outboard,1793,Atlantic Coast,very_good,4027.3,,66,2026-06-02,[],
comp_00f53715b39e,brokerage,listing,Kawasaki Jet Ski,STX 160,1989,11.83,jet,624,Inland Lakes,poor,1000.0,,133,2026-08-09,"[""joystick"", ""generator"", ""solar""]",
comp_2b0e0593e580,marketplace,sold,Sun Tracker,Bass Buggy 18 DLX,2023,26.0,outboard,17,Gulf Coast,fair,24442.38,22601.55,62,2026-02-02,"[""trailer"", ""AIS""]",
comp_f900ad6dc630,brokerage,sold,Regal,LS4,2007,24.0,outboard,280,Maritimes,very_good,21922.32,21012.65,33,2023-07-21,"[""generator"", ""radar""]",
comp_08e4a64b4955,marketplace,sold,Regal,28 Express,2003,25.0,sterndrive,1424,Atlantic Coast,good,16972.61,15929.29,70,2025-05-12,"[""solar"", ""autopilot"", ""trailer""]",
comp_0a14f3bf65d2,brokerage,sold,Catalina,275 Sport,1992,35.27,inboard,1615,Pacific Coast,poor,27872.94,24442.04,27,2026-05-06,"[""autopilot"", ""solar"", ""AIS""]",
comp_cab2f95e5516,internal_sales,sold,Jeanneau,Leader 10.5,1979,29.82,sail_aux,2655,Inland Lakes,good,40988.61,35295.35,18,2023-07-04,"[""autopilot""]",
comp_1582d608a3bb,marketplace,sold,Tracker,Grizzly 1860,1981,22.48,inboard,5482,Gulf Coast,very_good,8371.39,7261.86,155,2025-09-22,"[""generator""]",
comp_50fc7cafc45e,internal_sales,listing,Regal,LS4,1976,20.0,sterndrive,3561,Pacific Coast,very_good,5626.56,,65,2023-08-03,"[""solar"", ""generator"", ""radar""]",
comp_e353830171d9,marketplace,sold,Boston Whaler,170 Montauk,2014,25.21,inboard,878,Gulf Coast,good,25129.44,24051.96,10,2026-04-17,[],
comp_a4ece8a1e0db,marketplace,listing,Tiara,44 Coupe,2023,25.19,inboard,151,Inland Lakes,very_good,128730.65,,23,2024-03-10,"[""trailer""]",
comp_bce7c681afec,brokerage,sold,Chaparral,23 SSi,1979,25.33,sterndrive,3404,Atlantic Coast,poor,4717.65,4344.49,80,2025-03-27,[],
comp_95ab1e4e6fb2,marketplace,listing,SafeBoat,33 Full Cabin,2018,19.41,outboard,1971,Great Lakes,good,46143.99,,67,2023-04-13,"[""joystick"", ""solar""]",
comp_411d324779a4,brokerage,listing,Sun Tracker,Party Barge 22 DLX,2014,23.92,outboard,999,Inland Lakes,very_good,15018.77,,93,2023-03-26,"[""solar"", ""AIS"", ""radar""]",
comp_bb77a0107cd9,brokerage,sold,Lund,1650 Angler,1984,26.0,outboard,2533,Great Lakes,good,9799.04,9043.42,94,2026-02-26,"[""joystick""]",
comp_947c46e2c16b,brokerage,sold,Tracker,Targa V-18,2004,20.89,inboard,1027,Inland Lakes,good,14413.65,13691.15,84,2024-05-25,"[""joystick""]",
comp_b51d79a8b16e,brokerage,sold,Regal,LS4,2022,23.3,sterndrive,264,Great Lakes,good,32345.77,31543.05,95,2025-06-28,"[""trailer"", ""AIS"", ""solar""]",
comp_d45d0821c2dc,brokerage,sold,Harris,Cruiser 210,2013,24.72,outboard,1511,Great Lakes,fair,12885.71,12046.45,48,2023-10-15,"[""radar"", ""solar""]",
comp_e9ca9638737c,marketplace,sold,Sun Tracker,Party Barge 22 DLX,1976,18.78,outboard,4091,Inland Lakes,poor,1988.43,1831.13,103,2024-05-17,"[""AIS""]",
comp_229962e61f13,marketplace,listing,Catalina,445,2020,16.0,inboard,170,Great Lakes,excellent,39004.14,,42,2024-05-14,"[""radar"", ""joystick"", ""AIS""]",
comp_f21c07606228,marketplace,sold,Alumacraft Pro,Trophy 195,1969,41.91,jet,1022,Inland Lakes,poor,12382.69,10816.32,23,2024-04-02,"[""trailer"", ""autopilot""]",
comp_929940d69f20,marketplace,sold,Regal,LS4,2004,26.0,outboard,3108,Maritimes,fair,15371.27,13178.45,60,2023-05-02,"[""solar"", ""radar""]",
comp_615edcba3ea0,marketplace,sold,Regal,28 Express,2005,24.28,outboard,565,Gulf Coast,good,18817.72,16676.98,125,2026-03-04,"[""AIS"", ""autopilot""]",
comp_422fe48a2be1,marketplace,sold,Tracker,Pro Team 175,1995,21.98,inboard,6536,Inland Lakes,very_good,10573.73,9263.67,53,2026-05-08,"[""AIS"", ""solar""]",
comp_156d7ec212f0,brokerage,sold,Bennington,20 SVL,1990,19.63,outboard,1046,Gulf Coast,very_good,7652.0,7173.04,70,2023-03-14,"[""solar""]",
comp_74790ae14bb2,marketplace,sold,Grady-White,336 Canyon,2010,21.34,inboard,752,Pacific Coast,good,12339.56,11148.97,188,2024-01-28,[],
comp_4bd1d0785a8c,internal_sales,sold,Sun Tracker,Party Barge 22 DLX,2010,23.28,outboard,614,Pacific Coast,good,12903.93,12282.87,18,2026-08-26,"[""AIS"", ""generator"", ""solar""]",
comp_b176143663cb,marketplace,sold,Sea Ray,SDX 250,2000,36.77,sterndrive,1545,Maritimes,very_good,74282.7,71868.6,19,2025-09-18,[],
comp_47fa437fefd6,marketplace,sold,SafeBoat,33 Full Cabin,2015,19.41,outboard,1795,Great Lakes,good,38460.34,34839.95,16,2023-07-19,"[""generator"", ""trailer"", ""radar""]",
comp_3bf1823abedd,marketplace,sold,Sun Tracker,Party Barge 22 DLX,1988,22.4,outboard,938,Pacific Coast,fair,4207.98,3741.21,65,2025-06-27,"[""trailer"", ""autopilot"", ""generator""]",
comp_322ef9f72bd9,marketplace,sold,Chaparral,21 SSI,2012,23.46,outboard,751,Great Lakes,fair,15167.65,14325.14,33,2026-12-08,"[""AIS"", ""autopilot""]",
comp_ab0c3f793a6a,brokerage,sold,Tracker,Grizzly 1860,2013,26.0,outboard,1472,Atlantic Coast,very_good,25716.31,25030.27,95,2025-10-15,[],
comp_a8a2f7b072f8,marketplace,listing,Tiara,38 LS,1974,37.84,sterndrive,2042,Great Lakes,fair,32087.6,,13,2024-03-08,"[""joystick"", ""AIS"", ""generator""]",
comp_f0f7ddc12413,brokerage,listing,Regal,28 Express,1987,21.17,outboard,3106,Gulf Coast,very_good,9248.85,,59,2024-08-23,"[""radar"", ""autopilot"", ""solar""]",
comp_e4c1265d6eec,marketplace,sold,Jeanneau,Sun Odyssey 349,2010,35.71,sail_aux,659,Inland Lakes,good,84306.06,75058.99,59,2025-07-02,"[""solar"", ""generator"", ""trailer""]",
comp_1b56123ec5fb,internal_sales,sold,Tiara,38 LS,1991,41.8,sterndrive,2214,Inland Lakes,poor,42973.49,39926.11,58,2026-08-08,"[""joystick"", ""radar"", ""trailer""]",
comp_30302c3f2a5c,internal_sales,sold,Bayliner,VR5,2023,17.29,outboard,0,Pacific Coast,good,25150.0,23016.67,49,2026-10-03,[],
comp_b62dfaa0bbde,marketplace,sold,Tracker,Targa V-18,1969,26.0,inboard,4137,Pacific Coast,poor,2928.33,2644.83,26,2026-03-28,"[""generator""]",
comp_661623cd0125,brokerage,sold,Tracker,Pro Team 175,2018,17.92,inboard,761,Atlantic Coast,good,17967.96,16261.06,78,2024-09-12,"[""solar""]",
comp_c6db614b9eea,marketplace,sold,Sea Ray,SPX 190,2008,21.13,sterndrive,701,Gulf Coast,fair,13071.49,11831.72,50,2025-12-18,"[""autopilot"", ""AIS""]",
comp_bcb7b713d23c,internal_sales,sold,Tracker,Targa V-18,2002,15.1,outboard,1818,Gulf Coast,fair,6847.52,5998.03,59,2024-12-17,[],
comp_4c6f28ac2945,brokerage,sold,Lund,1875 Pro-V,1983,24.44,inboard,2512,Atlantic Coast,good,9094.33,8689.05,42,2025-01-28,"[""solar"", ""joystick"", ""autopilot""]",
comp_aad4cd643ed5,brokerage,sold,Harris,Cruiser 210,2013,28.77,outboard,1544,Atlantic Coast,very_good,23199.76,21759.34,25,2026-06-01,"[""radar"", ""generator""]",
comp_9a2c8de270a1,brokerage,sold,Boston Whaler,170 Montauk,2018,25.21,inboard,722,Gulf Coast,very_good,38267.68,33948.99,35,2026-02-25,[],
comp_0c635d834c48,marketplace,sold,Grady-White,336 Canyon,1982,23.71,inboard,3160,Inland Lakes,fair,7235.99,6722.61,15,2024-09-15,[],
comp_4b123a1587db,marketplace,listing,Lund,1650 Angler,2018,15.61,outboard,1595,Maritimes,good,16731.28,,37,2024-01-22,"[""autopilot"", ""solar"", ""trailer""]",
comp_6d9e4a810963,brokerage,listing,Bayliner,DX2000,2021,15.61,sterndrive,152,Maritimes,good,19161.61,,174,2025-11-10,[],
comp_37ae730b7f50,marketplace,sold,Regal,LS4,1999,21.8,outboard,222,Inland Lakes,fair,10178.74,9820.52,85,2026-11-26,"[""joystick"", ""generator"", ""AIS""]",
comp_7e08db9236bd,brokerage,sold,Sea Ray,SLX 260,2014,21.98,outboard,509,Pacific Coast,very_good,19759.16,18533.85,18,2026-06-27,"[""autopilot""]",
comp_577c8c31430c,internal_sales,listing,Boston Whaler,170 Montauk,1989,18.94,outboard,1700,Atlantic Coast,good,9114.42,,18,2024-12-21,"[""generator"", ""solar""]",
comp_52cac12a2e12,marketplace,sold,Lund,1650 Angler,2008,17.22,outboard,1275,Gulf Coast,very_good,14328.86,13334.61,67,2026-03-20,[],
comp_a51160a5d858,marketplace,sold,Boston Whaler,170 Montauk,1991,10.59,outboard,3022,Gulf Coast,fair,3033.54,2601.11,32,2023-09-13,"[""autopilot""]",
comp_996be436ee47,brokerage,sold,Sun Tracker,Bass Buggy 18 DLX,2011,18.63,outboard,908,Pacific Coast,very_good,10485.75,9617.61,13,2025-09-27,"[""generator"", ""autopilot"", ""trailer""]",
comp_1f75becd90af,brokerage,sold,Harris,Solstice 230,1975,24.12,outboard,2074,Maritimes,excellent,6190.07,5206.08,18,2025-04-26,"[""radar"", ""AIS"", ""joystick""]",
comp_097f26af4819,brokerage,sold,Catalina,275 Sport,1997,49.34,sail_aux,768,Maritimes,fair,79685.17,77835.83,131,2023-10-09,"[""autopilot"", ""AIS""]",
comp_f2ec1e52533e,marketplace,sold,Sea Ray,SLX 260,2010,17.19,outboard,645,Great Lakes,good,13084.76,11203.41,78,2024-10-10,"[""radar""]",
comp_b6329a54fdf3,marketplace,sold,Boston Whaler,230 Outrage,2024,24.56,outboard,439,Inland Lakes,fair,52765.73,48242.48,6,2024-07-19,[],
comp_a99ad8e36db4,brokerage,sold,Boston Whaler,170 Montauk,2026,19.66,outboard,21,Gulf Coast,fair,46429.56,43623.07,37,2023-10-21,"[""AIS"", ""autopilot""]",
comp_7f3d8c5b21a6,brokerage,sold,Boston Whaler,170 Montauk,2014,25.21,inboard,645,Gulf Coast,good,28266.1,24920.49,38,2024-12-14,"[""joystick""]",
comp_2092d00649e5,brokerage,sold,Lund,1875 Pro-V,1997,21.06,inboard,1574,Gulf Coast,good,12344.21,11943.42,211,2023-03-21,"[""solar"", ""joystick""]",
comp_f5b33a77e255,brokerage,sold,Formula,350 CBR,2002,32.31,inboard,918,Maritimes,very_good,65714.01,63060.88,105,2023-11-03,"[""solar"", ""trailer""]",
comp_c5dbedc062da,marketplace,listing,Bennington,20 SVL,1982,18.85,outboard,1563,Pacific Coast,very_good,4618.18,,72,2026-01-13,"[""generator"", ""AIS""]",
comp_fe2173d5b03b,marketplace,sold,Regal,28 Express,1989,26.0,outboard,6376,Gulf Coast,fair,8809.05,8417.98,18,2024-09-05,"[""radar"", ""trailer"", ""generator""]",
comp_daaad60a706c,brokerage,listing,HarborCat,36 Pilot,1986,28.59,inboard,19650,Atlantic Coast,fair,17893.92,,21,2024-03-04,[],
comp_68395645691d,brokerage,sold,Tiara,44 Coupe,2019,35.09,inboard,302,Inland Lakes,excellent,162644.41,143237.57,53,2024-06-13,"[""trailer"", ""joystick""]",
comp_1ba6394ccaed,marketplace,sold,Tracker,Grizzly 1860,2022,20.13,inboard,208,Maritimes,good,29344.6,25660.66,64,2026-11-05,"[""solar"", ""joystick""]",
